id,image_name,score,gt_qa_id,gt_question,m_qa_id,m_question
1,"WBS0038X=WBS0038X=1=en, ja=High",0.290625,1,"""Can I turn on my vehicle's heating remotely?""",1,"""What does the diagram suggest about the relationship between the vehicle and the device on the right?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.2608471074380165,1,"""Can I turn on my vehicle's heating remotely?""",2,"""What might the arrows pointing away from the vehicle represent?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.2545362903225807,1,"""Can I turn on my vehicle's heating remotely?""",3,"""What type of device is represented on the right side of the diagram?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.2525,1,"""Can I turn on my vehicle's heating remotely?""",4,"""Is there any physical connection between the vehicle and the smartphone in the diagram?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.21296296296296297,1,"""Can I turn on my vehicle's heating remotely?""",5,"""What could the radiating waves in the diagram signify?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.19245426829268292,2,"""Is it possible to cool my vehicle's interior before I start driving?""",1,"""What does the diagram suggest about the relationship between the vehicle and the device on the right?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.20103503184713375,2,"""Is it possible to cool my vehicle's interior before I start driving?""",2,"""What might the arrows pointing away from the vehicle represent?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.197265625,2,"""Is it possible to cool my vehicle's interior before I start driving?""",3,"""What type of device is represented on the right side of the diagram?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.2770186335403727,2,"""Is it possible to cool my vehicle's interior before I start driving?""",4,"""Is there any physical connection between the vehicle and the smartphone in the diagram?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.16381766381766383,2,"""Is it possible to cool my vehicle's interior before I start driving?""",5,"""What could the radiating waves in the diagram signify?"""
