image_name,recall,id
"WBS0038X=WBS0038X=1=en, ja=High",0.18353075089691442,1
"WBS0033X=WBS0033X=1=en, ja=High",0.2126640062058311,2
"WBS0022X=WBS0022X=1=en, ja=High",0.19819561323743273,3
"WBB0014X=WBB0014X=1=en, ja=High",0.17531310726275437,4
"WBB0015X=WBB0015X=1=en, ja=High",0.21655386934682266,5
"WBD0022X=WBD0022X=1=en, ja=High",0.23002318901527619,6
"WBC0074X=WBC0074X=1=en, ja=High",0.2076570410718345,7
"WBG0037X=WBG0037X=1=en, ja=High",0.1896397540263648,8
"WBS0024X=WBS0024X=1=en, ja=High",0.302752628615597,9
"WBS0027X=WBS0027X=1=en, ja=High",0.21007601739119947,10
"WBA0025X=WBA0025X=1=en, ja=High",0.25793587852478767,11
"WBA0026X=WBA0026X=1=en, ja=High",0.1836739181627736,12
"WBA0012X=WBA0012X=1=en, ja=High",0.25149099203442554,13
"WBA0027X=WBA0027X=1=en, ja=High",0.22937832036496836,14
"WBA0028X=WBA0028X=1=en, ja=High",0.22420871872647746,15
"WBB0061X=WBB0061X=1=en, ja=High",0.29746356816814934,16
"WBC0045X=WBC0045X=1=en, ja=High",0.26096280192998134,17
