id,image_name,score,gt_qa_id,gt_question,m_qa_id,m_question
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8255878214109417,1,"""Can I turn on my vehicle's heating remotely?""",1,"What is a black and white diagram showing a left-side view of a vehicle and a mobile device separated by two sets of radiating waves?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8003152100655573,1,"""Can I turn on my vehicle's heating remotely?""",2,"What does a black and white diagram show?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.832224865836425,1,"""Can I turn on my vehicle's heating remotely?""",3,"What is a black and white diagram showing a left-side view of a vehicle and a mobile device separated by a wave?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8847547580630514,1,"""Can I turn on my vehicle's heating remotely?""",4,"How do I know if there are sensors on the front grille?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8729513378270706,1,"""Can I turn on my vehicle's heating remotely?""",5,"What does the red indicator light with a car on a road and a speedometer mean?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8752875974583979,1,"""Can I turn on my vehicle's heating remotely?""",6,"How do I know if there is a area of signal coverage?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.838504655327582,1,"""Can I turn on my vehicle's heating remotely?""",7,"What is the right side of the image, separated from the car by the radiating waves, is an icon of a mobile phone?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8499594291386552,2,"""Is it possible to cool my vehicle's interior before I start driving?""",1,"What is a black and white diagram showing a left-side view of a vehicle and a mobile device separated by two sets of radiating waves?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8257873751805627,2,"""Is it possible to cool my vehicle's interior before I start driving?""",2,"What does a black and white diagram show?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8565156033670506,2,"""Is it possible to cool my vehicle's interior before I start driving?""",3,"What is a black and white diagram showing a left-side view of a vehicle and a mobile device separated by a wave?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8911011559996929,2,"""Is it possible to cool my vehicle's interior before I start driving?""",4,"How do I know if there are sensors on the front grille?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8972035855253864,2,"""Is it possible to cool my vehicle's interior before I start driving?""",5,"What does the red indicator light with a car on a road and a speedometer mean?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.9012916854979376,2,"""Is it possible to cool my vehicle's interior before I start driving?""",6,"How do I know if there is a area of signal coverage?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8711554759606535,2,"""Is it possible to cool my vehicle's interior before I start driving?""",7,"What is the right side of the image, separated from the car by the radiating waves, is an icon of a mobile phone?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8303330043094284,3,"""Does remote operation of the climate control affect my vehicle's battery?""",1,"What is a black and white diagram showing a left-side view of a vehicle and a mobile device separated by two sets of radiating waves?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.7679926396830837,3,"""Does remote operation of the climate control affect my vehicle's battery?""",2,"What does a black and white diagram show?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8305703874891317,3,"""Does remote operation of the climate control affect my vehicle's battery?""",3,"What is a black and white diagram showing a left-side view of a vehicle and a mobile device separated by a wave?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.814151136609663,3,"""Does remote operation of the climate control affect my vehicle's battery?""",4,"How do I know if there are sensors on the front grille?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8588236398228686,3,"""Does remote operation of the climate control affect my vehicle's battery?""",5,"What does the red indicator light with a car on a road and a speedometer mean?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8395036872490828,3,"""Does remote operation of the climate control affect my vehicle's battery?""",6,"How do I know if there is a area of signal coverage?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8513511977046267,3,"""Does remote operation of the climate control affect my vehicle's battery?""",7,"What is the right side of the image, separated from the car by the radiating waves, is an icon of a mobile phone?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.834910898853599,4,"""How do I access my vehicle's climate control system through my smartphone?""",1,"What is a black and white diagram showing a left-side view of a vehicle and a mobile device separated by two sets of radiating waves?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8036403606091573,4,"""How do I access my vehicle's climate control system through my smartphone?""",2,"What does a black and white diagram show?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.841453261469124,4,"""How do I access my vehicle's climate control system through my smartphone?""",3,"What is a black and white diagram showing a left-side view of a vehicle and a mobile device separated by a wave?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8787919200073495,4,"""How do I access my vehicle's climate control system through my smartphone?""",4,"How do I know if there are sensors on the front grille?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8635073293926542,4,"""How do I access my vehicle's climate control system through my smartphone?""",5,"What does the red indicator light with a car on a road and a speedometer mean?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.888223650232495,4,"""How do I access my vehicle's climate control system through my smartphone?""",6,"How do I know if there is a area of signal coverage?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8536379556970292,4,"""How do I access my vehicle's climate control system through my smartphone?""",7,"What is the right side of the image, separated from the car by the radiating waves, is an icon of a mobile phone?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8470795230190243,5,"""Can using the climate control before driving improve my vehicle's range?""",1,"What is a black and white diagram showing a left-side view of a vehicle and a mobile device separated by two sets of radiating waves?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.7841797758811193,5,"""Can using the climate control before driving improve my vehicle's range?""",2,"What does a black and white diagram show?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8472802991926194,5,"""Can using the climate control before driving improve my vehicle's range?""",3,"What is a black and white diagram showing a left-side view of a vehicle and a mobile device separated by a wave?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8490995086950073,5,"""Can using the climate control before driving improve my vehicle's range?""",4,"How do I know if there are sensors on the front grille?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8813901122653349,5,"""Can using the climate control before driving improve my vehicle's range?""",5,"What does the red indicator light with a car on a road and a speedometer mean?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8612940591241665,5,"""Can using the climate control before driving improve my vehicle's range?""",6,"How do I know if there is a area of signal coverage?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8651589662064781,5,"""Can using the climate control before driving improve my vehicle's range?""",7,"What is the right side of the image, separated from the car by the radiating waves, is an icon of a mobile phone?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8228221182283479,6,"""How can I operate the climate control system before driving?""",1,"What is a black and white diagram showing a left-side view of a vehicle and a mobile device separated by two sets of radiating waves?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8024696035205895,6,"""How can I operate the climate control system before driving?""",2,"What does a black and white diagram show?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8234181207373137,6,"""How can I operate the climate control system before driving?""",3,"What is a black and white diagram showing a left-side view of a vehicle and a mobile device separated by a wave?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8832969947627721,6,"""How can I operate the climate control system before driving?""",4,"How do I know if there are sensors on the front grille?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8591844573871056,6,"""How can I operate the climate control system before driving?""",5,"What does the red indicator light with a car on a road and a speedometer mean?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8937928305950292,6,"""How can I operate the climate control system before driving?""",6,"How do I know if there is a area of signal coverage?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8436208864908105,6,"""How can I operate the climate control system before driving?""",7,"What is the right side of the image, separated from the car by the radiating waves, is an icon of a mobile phone?
"
2,"WBS0033X=WBS0033X=1=en, ja=High",0.791301273110841,1,"""What is the function of the Approaching Vehicle Sound for Pedestrians (VSP) system in my vehicle?""",1,"What is a simplified black and white line drawing?
"
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8917091639639227,1,"""What is the function of the Approaching Vehicle Sound for Pedestrians (VSP) system in my vehicle?""",2,"What is the left side of the car?
"
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8565518200529025,1,"""What is the function of the Approaching Vehicle Sound for Pedestrians (VSP) system in my vehicle?""",3,"What do curved lines mean on the right side of the image?
"
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8834445799947174,1,"""What is the function of the Approaching Vehicle Sound for Pedestrians (VSP) system in my vehicle?""",4,"What are the details of the car?
"
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8259488591353843,1,"""What is the function of the Approaching Vehicle Sound for Pedestrians (VSP) system in my vehicle?""",5,"Why are the rearview camera's lines sparse?
"
2,"WBS0033X=WBS0033X=1=en, ja=High",0.7943262166888689,1,"""What is the function of the Approaching Vehicle Sound for Pedestrians (VSP) system in my vehicle?""",6,"Why are the lines sparse?
"
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8366556165465431,1,"""What is the function of the Approaching Vehicle Sound for Pedestrians (VSP) system in my vehicle?""",7,"Where are the outlines of what could be trees?
"
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8738287977630758,1,"""What is the function of the Approaching Vehicle Sound for Pedestrians (VSP) system in my vehicle?""",8,"What are the outlines of what is behind the figures and car?
"
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8598133313681756,1,"""What is the function of the Approaching Vehicle Sound for Pedestrians (VSP) system in my vehicle?""",9,"What are the outlines of what are behind the figures and car?
"
2,"WBS0033X=WBS0033X=1=en, ja=High",0.7713229990896998,2,"""When does the VSP system activate in my vehicle?""",1,"What is a simplified black and white line drawing?
"
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8465242889690663,2,"""When does the VSP system activate in my vehicle?""",2,"What is the left side of the car?
"
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8311447850270649,2,"""When does the VSP system activate in my vehicle?""",3,"What do curved lines mean on the right side of the image?
"
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8226055431604864,2,"""When does the VSP system activate in my vehicle?""",4,"What are the details of the car?
"
2,"WBS0033X=WBS0033X=1=en, ja=High",0.7973466822957911,2,"""When does the VSP system activate in my vehicle?""",5,"Why are the rearview camera's lines sparse?
"
2,"WBS0033X=WBS0033X=1=en, ja=High",0.7594140253621148,2,"""When does the VSP system activate in my vehicle?""",6,"Why are the lines sparse?
"
2,"WBS0033X=WBS0033X=1=en, ja=High",0.7913664901583618,2,"""When does the VSP system activate in my vehicle?""",7,"Where are the outlines of what could be trees?
"
2,"WBS0033X=WBS0033X=1=en, ja=High",0.819138157435331,2,"""When does the VSP system activate in my vehicle?""",8,"What are the outlines of what is behind the figures and car?
"
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8023089259556092,2,"""When does the VSP system activate in my vehicle?""",9,"What are the outlines of what are behind the figures and car?
"
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8089978828302639,3,"""At what speed does the VSP system stop producing sound when the vehicle is accelerating?""",1,"What is a simplified black and white line drawing?
"
2,"WBS0033X=WBS0033X=1=en, ja=High",0.879266800701138,3,"""At what speed does the VSP system stop producing sound when the vehicle is accelerating?""",2,"What is the left side of the car?
"
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8649047432012649,3,"""At what speed does the VSP system stop producing sound when the vehicle is accelerating?""",3,"What do curved lines mean on the right side of the image?
"
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8581197667566285,3,"""At what speed does the VSP system stop producing sound when the vehicle is accelerating?""",4,"What are the details of the car?
"
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8208285054195029,3,"""At what speed does the VSP system stop producing sound when the vehicle is accelerating?""",5,"Why are the rearview camera's lines sparse?
"
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8053953506618351,3,"""At what speed does the VSP system stop producing sound when the vehicle is accelerating?""",6,"Why are the lines sparse?
"
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8370516356343245,3,"""At what speed does the VSP system stop producing sound when the vehicle is accelerating?""",7,"Where are the outlines of what could be trees?
"
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8762173604173603,3,"""At what speed does the VSP system stop producing sound when the vehicle is accelerating?""",8,"What are the outlines of what is behind the figures and car?
"
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8566824727501127,3,"""At what speed does the VSP system stop producing sound when the vehicle is accelerating?""",9,"What are the outlines of what are behind the figures and car?
"
2,"WBS0033X=WBS0033X=1=en, ja=High",0.7836607773306189,4,"""How does the VSP system respond when the vehicle is decelerating?""",1,"What is a simplified black and white line drawing?
"
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8543658345424914,4,"""How does the VSP system respond when the vehicle is decelerating?""",2,"What is the left side of the car?
"
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8368140416814223,4,"""How does the VSP system respond when the vehicle is decelerating?""",3,"What do curved lines mean on the right side of the image?
"
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8328545852627574,4,"""How does the VSP system respond when the vehicle is decelerating?""",4,"What are the details of the car?
"
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8042138183102289,4,"""How does the VSP system respond when the vehicle is decelerating?""",5,"Why are the rearview camera's lines sparse?
"
2,"WBS0033X=WBS0033X=1=en, ja=High",0.7894388800840986,4,"""How does the VSP system respond when the vehicle is decelerating?""",6,"Why are the lines sparse?
"
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8228567670624878,4,"""How does the VSP system respond when the vehicle is decelerating?""",7,"Where are the outlines of what could be trees?
"
2,"WBS0033X=WBS0033X=1=en, ja=High",0.856063664142342,4,"""How does the VSP system respond when the vehicle is decelerating?""",8,"What are the outlines of what is behind the figures and car?
"
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8359649733521166,4,"""How does the VSP system respond when the vehicle is decelerating?""",9,"What are the outlines of what are behind the figures and car?
"
3,"WBS0022X=WBS0022X=1=en, ja=High",0.8047359627010067,1,"""How can I tell if my electric vehicle is currently charging?""",1,"What do the defrosting vents do in the personalization menu for?
"
3,"WBS0022X=WBS0022X=1=en, ja=High",0.7948651244202929,1,"""How can I tell if my electric vehicle is currently charging?""",2,"What does the  Defrosting vents '' setting do?
"
3,"WBS0022X=WBS0022X=1=en, ja=High",0.8204422272371942,1,"""How can I tell if my electric vehicle is currently charging?""",3,"What does the drawing on the defrosting vents do?
"
3,"WBS0022X=WBS0022X=1=en, ja=High",0.8984849139527094,1,"""How can I tell if my electric vehicle is currently charging?""",4,"How do I know if there is airflow?
"
3,"WBS0022X=WBS0022X=1=en, ja=High",0.8083546252698379,1,"""How can I tell if my electric vehicle is currently charging?""",5,"Is there a car's dashboard with a section resembling a speaker grille?
"
3,"WBS0022X=WBS0022X=1=en, ja=High",0.8589899815005793,1,"""How can I tell if my electric vehicle is currently charging?""",6,"Where is the car's dashboard?
"
3,"WBS0022X=WBS0022X=1=en, ja=High",0.8162549105548396,1,"""How can I tell if my electric vehicle is currently charging?""",7,"Where is the bottom of the windshield?
"
3,"WBS0022X=WBS0022X=1=en, ja=High",0.8194493669714896,1,"""How can I tell if my electric vehicle is currently charging?""",8,"Where can I see where the defroster vents are located?
"
3,"WBS0022X=WBS0022X=1=en, ja=High",0.8209153759892132,1,"""How can I tell if my electric vehicle is currently charging?""",9,"Where do I see where the defroster vents are located?
"
3,"WBS0022X=WBS0022X=1=en, ja=High",0.7835930108595642,2,"""Where is the charging status indicator light located on my vehicle?""",1,"What do the defrosting vents do in the personalization menu for?
"
3,"WBS0022X=WBS0022X=1=en, ja=High",0.7477951604571874,2,"""Where is the charging status indicator light located on my vehicle?""",2,"What does the  Defrosting vents '' setting do?
"
3,"WBS0022X=WBS0022X=1=en, ja=High",0.8004044423209781,2,"""Where is the charging status indicator light located on my vehicle?""",3,"What does the drawing on the defrosting vents do?
"
3,"WBS0022X=WBS0022X=1=en, ja=High",0.7628436098225807,2,"""Where is the charging status indicator light located on my vehicle?""",4,"How do I know if there is airflow?
"
3,"WBS0022X=WBS0022X=1=en, ja=High",0.8368255071800422,2,"""Where is the charging status indicator light located on my vehicle?""",5,"Is there a car's dashboard with a section resembling a speaker grille?
"
3,"WBS0022X=WBS0022X=1=en, ja=High",0.876749500723127,2,"""Where is the charging status indicator light located on my vehicle?""",6,"Where is the car's dashboard?
"
3,"WBS0022X=WBS0022X=1=en, ja=High",0.8783456658067128,2,"""Where is the charging status indicator light located on my vehicle?""",7,"Where is the bottom of the windshield?
"
3,"WBS0022X=WBS0022X=1=en, ja=High",0.8045264632387347,2,"""Where is the charging status indicator light located on my vehicle?""",8,"Where can I see where the defroster vents are located?
"
3,"WBS0022X=WBS0022X=1=en, ja=High",0.7972641989727175,2,"""Where is the charging status indicator light located on my vehicle?""",9,"Where do I see where the defroster vents are located?
"
4,"WBB0014X=WBB0014X=1=en, ja=High",0.9167786338197716,1,"""How do I adjust the position of my car seat forward and backward?""",1,"How do I know if a car seat is adjustable?
"
4,"WBB0014X=WBB0014X=1=en, ja=High",0.8990012352941986,1,"""How do I adjust the position of my car seat forward and backward?""",2,"Where can I see an adjustable car seat?
"
