image_name,precision,id
"WBS0038X=WBS0038X=1=en, ja=High",0.8962682336784966,1
"WBS0033X=WBS0033X=1=en, ja=High",0.8581466073982661,2
"WBS0022X=WBS0022X=1=en, ja=High",0.8842132790308671,3
"WBB0014X=WBB0014X=1=en, ja=High",0.9156220726994442,4
"WBB0015X=WBB0015X=1=en, ja=High",0.860953180007733,5
"WBD0022X=WBD0022X=1=en, ja=High",0.9047708096897238,6
"WBC0074X=WBC0074X=1=en, ja=High",0.8812484660280466,7
"WBG0037X=WBG0037X=1=en, ja=High",0.8783254774222603,8
"WBS0024X=WBS0024X=1=en, ja=High",0.9200827868190633,9
"WBS0027X=WBS0027X=1=en, ja=High",0.8746315629629204,10
"WBA0025X=WBA0025X=1=en, ja=High",0.8955753752104079,11
"WBA0026X=WBA0026X=1=en, ja=High",0.8969622227464886,12
"WBA0012X=WBA0012X=1=en, ja=High",0.9061813456979767,13
"WBA0027X=WBA0027X=1=en, ja=High",0.9315136667250675,14
"WBA0028X=WBA0028X=1=en, ja=High",0.9026217410810183,15
"WBB0061X=WBB0061X=1=en, ja=High",0.8804063077004924,16
"WBC0045X=WBC0045X=1=en, ja=High",0.9106670095761628,17
