image_name,f1_score,id_recall
"WBS0038X=WBS0038X=1=en, ja=High",0.912030590219826,1
"WBS0033X=WBS0033X=1=en, ja=High",0.9027492355224027,2
"WBS0022X=WBS0022X=1=en, ja=High",0.9106928346611792,3
"WBB0014X=WBB0014X=1=en, ja=High",0.9329459502999463,4
"WBB0015X=WBB0015X=1=en, ja=High",0.9167433907874581,5
"WBD0022X=WBD0022X=1=en, ja=High",0.9369111007359232,6
"WBC0074X=WBC0074X=1=en, ja=High",0.908855322062419,7
"WBG0037X=WBG0037X=1=en, ja=High",0.9243939982682788,8
"WBS0024X=WBS0024X=1=en, ja=High",0.9284280759737789,9
"WBS0027X=WBS0027X=1=en, ja=High",0.908022470213927,10
"WBA0025X=WBA0025X=1=en, ja=High",0.89981084234487,11
"WBA0026X=WBA0026X=1=en, ja=High",0.9136182491872923,12
"WBA0012X=WBA0012X=1=en, ja=High",0.883401225447891,13
"WBA0027X=WBA0027X=1=en, ja=High",0.9041145589471511,14
"WBA0028X=WBA0028X=1=en, ja=High",0.8906441448219529,15
"WBB0061X=WBB0061X=1=en, ja=High",0.8774181445406958,16
"WBC0045X=WBC0045X=1=en, ja=High",0.9311719578344407,17
