image_name,recall,id
"WBS0038X=WBS0038X=1=en, ja=High",0.8847127794127861,1
"WBS0033X=WBS0033X=1=en, ja=High",0.8683909794441174,2
"WBS0022X=WBS0022X=1=en, ja=High",0.8884152898797111,3
"WBB0014X=WBB0014X=1=en, ja=High",0.9276155737846031,4
"WBB0015X=WBB0015X=1=en, ja=High",0.916967823561091,5
"WBD0022X=WBD0022X=1=en, ja=High",0.8701136517461775,6
"WBC0074X=WBC0074X=1=en, ja=High",0.9037712477762454,7
"WBG0037X=WBG0037X=1=en, ja=High",0.9061532279530632,8
"WBS0024X=WBS0024X=1=en, ja=High",0.8984116014841445,9
"WBS0027X=WBS0027X=1=en, ja=High",0.9149932454327407,10
"WBA0025X=WBA0025X=1=en, ja=High",0.8651076587231675,11
"WBA0026X=WBA0026X=1=en, ja=High",0.8784710764639722,12
"WBA0012X=WBA0012X=1=en, ja=High",0.8647789581727012,13
"WBA0027X=WBA0027X=1=en, ja=High",0.900550810938595,14
"WBA0028X=WBA0028X=1=en, ja=High",0.8685262163343818,15
"WBB0061X=WBB0061X=1=en, ja=High",0.8283727279570952,16
"WBC0045X=WBC0045X=1=en, ja=High",0.8997632335410513,17
