image_name,f1_score,id_recall
"WBS0038X=WBS0038X=1=en, ja=High",0.9045095866662859,1
"WBS0033X=WBS0033X=1=en, ja=High",0.8985067678726224,2
"WBS0022X=WBS0022X=1=en, ja=High",0.8982226944564102,3
"WBB0014X=WBB0014X=1=en, ja=High",0.9274238575970883,4
"WBB0015X=WBB0015X=1=en, ja=High",0.9260242412580146,5
"WBD0022X=WBD0022X=1=en, ja=High",0.9221238053791594,6
"WBC0074X=WBC0074X=1=en, ja=High",0.8867761651827356,7
"WBG0037X=WBG0037X=1=en, ja=High",0.8888661963710984,8
"WBS0024X=WBS0024X=1=en, ja=High",0.9118020594384687,9
"WBS0027X=WBS0027X=1=en, ja=High",0.898776088815734,10
"WBA0025X=WBA0025X=1=en, ja=High",0.9025904270900934,11
"WBA0026X=WBA0026X=1=en, ja=High",0.9169364234719785,12
"WBA0012X=WBA0012X=1=en, ja=High",0.8933979806731313,13
"WBA0027X=WBA0027X=1=en, ja=High",0.9190169311658978,14
"WBA0028X=WBA0028X=1=en, ja=High",0.8813812653893204,15
"WBB0061X=WBB0061X=1=en, ja=High",0.8747520966006819,16
"WBC0045X=WBC0045X=1=en, ja=High",0.9279474103862984,17
