id,image_name,score,gt_qa_id,gt_question,m_qa_id,m_question
1,"WBS0038X=WBS0038X=1=en, ja=High",0.9220421730142758,1,"""Yes, you can turn on your vehicle's heating remotely using the NissanConnect® Services app on an internet-enabled smartphone. This feature allows you to warm up the interior before driving, while the vehicle is still charging.""",1,"""The image implies that a vehicle can be unlocked or interacted with using wireless communication from a mobile device."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.9196126249429409,1,"""Yes, you can turn on your vehicle's heating remotely using the NissanConnect® Services app on an internet-enabled smartphone. This feature allows you to warm up the interior before driving, while the vehicle is still charging.""",2,"""The arrows likely represent the areas where the vehicle receives the wireless signal from the mobile device for entry or starting the vehicle."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.9027665647953418,1,"""Yes, you can turn on your vehicle's heating remotely using the NissanConnect® Services app on an internet-enabled smartphone. This feature allows you to warm up the interior before driving, while the vehicle is still charging.""",3,"""No, the mobile device communicates wirelessly with the car as indicated by the radio waves symbol."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.9353684967500254,1,"""Yes, you can turn on your vehicle's heating remotely using the NissanConnect® Services app on an internet-enabled smartphone. This feature allows you to warm up the interior before driving, while the vehicle is still charging.""",4,"""The mobile device is likely acting as a key, sending signals to lock, unlock, or start the vehicle."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.9423010860595672,1,"""Yes, you can turn on your vehicle's heating remotely using the NissanConnect® Services app on an internet-enabled smartphone. This feature allows you to warm up the interior before driving, while the vehicle is still charging.""",5,"""No, the image does not provide information to determine if the vehicle is started; it only indicates the wireless communication capability."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8840663197523524,2,"""Yes, with the NissanConnect® Services app, you can remotely activate your vehicle's air conditioning to cool the interior before you begin your drive.""",1,"""The image implies that a vehicle can be unlocked or interacted with using wireless communication from a mobile device."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8877677991348231,2,"""Yes, with the NissanConnect® Services app, you can remotely activate your vehicle's air conditioning to cool the interior before you begin your drive.""",2,"""The arrows likely represent the areas where the vehicle receives the wireless signal from the mobile device for entry or starting the vehicle."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8752030889252083,2,"""Yes, with the NissanConnect® Services app, you can remotely activate your vehicle's air conditioning to cool the interior before you begin your drive.""",3,"""No, the mobile device communicates wirelessly with the car as indicated by the radio waves symbol."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.917102875994234,2,"""Yes, with the NissanConnect® Services app, you can remotely activate your vehicle's air conditioning to cool the interior before you begin your drive.""",4,"""The mobile device is likely acting as a key, sending signals to lock, unlock, or start the vehicle."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.9192854097416736,2,"""Yes, with the NissanConnect® Services app, you can remotely activate your vehicle's air conditioning to cool the interior before you begin your drive.""",5,"""No, the image does not provide information to determine if the vehicle is started; it only indicates the wireless communication capability."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.892638881056574,3,"""Operating the climate control system remotely while your vehicle is charging can help reduce the load on the Li-ion battery during driving, potentially increasing the vehicle's driving range.""",1,"""The image implies that a vehicle can be unlocked or interacted with using wireless communication from a mobile device."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.9224513746470724,3,"""Operating the climate control system remotely while your vehicle is charging can help reduce the load on the Li-ion battery during driving, potentially increasing the vehicle's driving range.""",2,"""The arrows likely represent the areas where the vehicle receives the wireless signal from the mobile device for entry or starting the vehicle."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8785405959853562,3,"""Operating the climate control system remotely while your vehicle is charging can help reduce the load on the Li-ion battery during driving, potentially increasing the vehicle's driving range.""",3,"""No, the mobile device communicates wirelessly with the car as indicated by the radio waves symbol."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.9086179481491109,3,"""Operating the climate control system remotely while your vehicle is charging can help reduce the load on the Li-ion battery during driving, potentially increasing the vehicle's driving range.""",4,"""The mobile device is likely acting as a key, sending signals to lock, unlock, or start the vehicle."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.915754293619097,3,"""Operating the climate control system remotely while your vehicle is charging can help reduce the load on the Li-ion battery during driving, potentially increasing the vehicle's driving range.""",5,"""No, the image does not provide information to determine if the vehicle is started; it only indicates the wireless communication capability."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8961574788939537,4,"""To access your vehicle's climate control system through your smartphone, use the NissanConnect® Services app, which provides the functionality to control the heating and air conditioning remotely.""",1,"""The image implies that a vehicle can be unlocked or interacted with using wireless communication from a mobile device."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.9038948168089488,4,"""To access your vehicle's climate control system through your smartphone, use the NissanConnect® Services app, which provides the functionality to control the heating and air conditioning remotely.""",2,"""The arrows likely represent the areas where the vehicle receives the wireless signal from the mobile device for entry or starting the vehicle."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8829918332863197,4,"""To access your vehicle's climate control system through your smartphone, use the NissanConnect® Services app, which provides the functionality to control the heating and air conditioning remotely.""",3,"""No, the mobile device communicates wirelessly with the car as indicated by the radio waves symbol."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.9010234576312702,4,"""To access your vehicle's climate control system through your smartphone, use the NissanConnect® Services app, which provides the functionality to control the heating and air conditioning remotely.""",4,"""The mobile device is likely acting as a key, sending signals to lock, unlock, or start the vehicle."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.9182937972944587,4,"""To access your vehicle's climate control system through your smartphone, use the NissanConnect® Services app, which provides the functionality to control the heating and air conditioning remotely.""",5,"""No, the image does not provide information to determine if the vehicle is started; it only indicates the wireless communication capability."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8857670444449285,5,"""Yes, pre-conditioning your vehicle's interior while connected to a charger can help preserve the Li-ion battery's charge, thus potentially increasing the driving range.""",1,"""The image implies that a vehicle can be unlocked or interacted with using wireless communication from a mobile device."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8982582445288068,5,"""Yes, pre-conditioning your vehicle's interior while connected to a charger can help preserve the Li-ion battery's charge, thus potentially increasing the driving range.""",2,"""The arrows likely represent the areas where the vehicle receives the wireless signal from the mobile device for entry or starting the vehicle."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8750675978951805,5,"""Yes, pre-conditioning your vehicle's interior while connected to a charger can help preserve the Li-ion battery's charge, thus potentially increasing the driving range.""",3,"""No, the mobile device communicates wirelessly with the car as indicated by the radio waves symbol."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.9158325153287296,5,"""Yes, pre-conditioning your vehicle's interior while connected to a charger can help preserve the Li-ion battery's charge, thus potentially increasing the driving range.""",4,"""The mobile device is likely acting as a key, sending signals to lock, unlock, or start the vehicle."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.9174568215870165,5,"""Yes, pre-conditioning your vehicle's interior while connected to a charger can help preserve the Li-ion battery's charge, thus potentially increasing the driving range.""",5,"""No, the image does not provide information to determine if the vehicle is started; it only indicates the wireless communication capability."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.9225397989937477,6,"""You can turn on the vehicle's heating and air conditioning system remotely using an internet-enabled smartphone with the NissanConnect® Services app, allowing the interior to be heated or cooled while the vehicle is charging. This feature helps to reduce the load on the Li-ion battery while the vehicle is being driven and can increase the vehicle's driving range.""",1,"""The image implies that a vehicle can be unlocked or interacted with using wireless communication from a mobile device."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.9358465015417641,6,"""You can turn on the vehicle's heating and air conditioning system remotely using an internet-enabled smartphone with the NissanConnect® Services app, allowing the interior to be heated or cooled while the vehicle is charging. This feature helps to reduce the load on the Li-ion battery while the vehicle is being driven and can increase the vehicle's driving range.""",2,"""The arrows likely represent the areas where the vehicle receives the wireless signal from the mobile device for entry or starting the vehicle."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.9019097376366649,6,"""You can turn on the vehicle's heating and air conditioning system remotely using an internet-enabled smartphone with the NissanConnect® Services app, allowing the interior to be heated or cooled while the vehicle is charging. This feature helps to reduce the load on the Li-ion battery while the vehicle is being driven and can increase the vehicle's driving range.""",3,"""No, the mobile device communicates wirelessly with the car as indicated by the radio waves symbol."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.9239673272298993,6,"""You can turn on the vehicle's heating and air conditioning system remotely using an internet-enabled smartphone with the NissanConnect® Services app, allowing the interior to be heated or cooled while the vehicle is charging. This feature helps to reduce the load on the Li-ion battery while the vehicle is being driven and can increase the vehicle's driving range.""",4,"""The mobile device is likely acting as a key, sending signals to lock, unlock, or start the vehicle."""
