id,image_name,score,gt_qa_id,m_qa_id
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8511131928018039,1,1
1,"WBS0038X=WBS0038X=1=en, ja=High",0.834596009900296,1,2
1,"WBS0038X=WBS0038X=1=en, ja=High",0.9019140495025803,1,3
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8726761988727656,1,4
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8870402169030055,1,5
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8477335725699722,2,1
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8250839661177325,2,2
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8945911799380026,2,3
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8665982454857903,2,4
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8843377391938483,2,5
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8402536585294496,3,1
1,"WBS0038X=WBS0038X=1=en, ja=High",0.816573900327151,3,2
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8886087838271785,3,3
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8427175569124545,3,4
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8625205871401026,3,5
1,"WBS0038X=WBS0038X=1=en, ja=High",0.812202307519487,4,1
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8242793001711484,4,2
1,"WBS0038X=WBS0038X=1=en, ja=High",0.9012635036826989,4,3
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8281960345799401,4,4
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8440627733508471,4,5
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8511249228057917,5,1
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8292846275999566,5,2
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8993989736474458,5,3
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8629154647784955,5,4
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8810790204041079,5,5
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8476259868231256,6,1
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8295991426802074,6,2
1,"WBS0038X=WBS0038X=1=en, ja=High",0.9037980303711994,6,3
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8668146922242037,6,4
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8776664685243784,6,5
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8793650671185954,1,1
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8591502921708203,1,2
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8449735331271986,1,3
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8459255586498416,1,4
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8114416577251726,1,5
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8732203435163235,2,1
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8480074212802653,2,2
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8252000654458166,2,3
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8243627623308922,2,4
2,"WBS0033X=WBS0033X=1=en, ja=High",0.82885896320309,2,5
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8490119406177973,3,1
2,"WBS0033X=WBS0033X=1=en, ja=High",0.822615266383167,3,2
2,"WBS0033X=WBS0033X=1=en, ja=High",0.7994183320629997,3,3
2,"WBS0033X=WBS0033X=1=en, ja=High",0.7967742066661553,3,4
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8042442196607782,3,5
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8625963455714851,4,1
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8402557017669121,4,2
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8138753804882428,4,3
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8116650469735853,4,4
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8280934137601426,4,5
3,"WBS0022X=WBS0022X=1=en, ja=High",0.8461595643537335,1,1
3,"WBS0022X=WBS0022X=1=en, ja=High",0.8785122489440758,1,2
3,"WBS0022X=WBS0022X=1=en, ja=High",0.8613412016927641,1,3
3,"WBS0022X=WBS0022X=1=en, ja=High",0.8609905456221034,1,4
3,"WBS0022X=WBS0022X=1=en, ja=High",0.8885205192598347,1,5
3,"WBS0022X=WBS0022X=1=en, ja=High",0.8798516982385897,2,1
3,"WBS0022X=WBS0022X=1=en, ja=High",0.9026267412220443,2,2
3,"WBS0022X=WBS0022X=1=en, ja=High",0.8686551866055614,2,3
3,"WBS0022X=WBS0022X=1=en, ja=High",0.8816424258250286,2,4
3,"WBS0022X=WBS0022X=1=en, ja=High",0.9165819873455613,2,5
4,"WBB0014X=WBB0014X=1=en, ja=High",0.7688922119744488,1,1
4,"WBB0014X=WBB0014X=1=en, ja=High",0.7746306693141898,1,2
4,"WBB0014X=WBB0014X=1=en, ja=High",0.757824192613124,1,3
4,"WBB0014X=WBB0014X=1=en, ja=High",0.8267493730384932,1,4
4,"WBB0014X=WBB0014X=1=en, ja=High",0.8632870098440107,1,5
4,"WBB0014X=WBB0014X=1=en, ja=High",0.7540129895582699,2,1
4,"WBB0014X=WBB0014X=1=en, ja=High",0.7701461536087756,2,2
4,"WBB0014X=WBB0014X=1=en, ja=High",0.7304492646922214,2,3
4,"WBB0014X=WBB0014X=1=en, ja=High",0.8245014985737893,2,4
4,"WBB0014X=WBB0014X=1=en, ja=High",0.8486297723264977,2,5
4,"WBB0014X=WBB0014X=1=en, ja=High",0.7381467352800458,3,1
4,"WBB0014X=WBB0014X=1=en, ja=High",0.7330957241261616,3,2
4,"WBB0014X=WBB0014X=1=en, ja=High",0.7146545802447045,3,3
4,"WBB0014X=WBB0014X=1=en, ja=High",0.7990933762447308,3,4
4,"WBB0014X=WBB0014X=1=en, ja=High",0.8531060594213226,3,5
4,"WBB0014X=WBB0014X=1=en, ja=High",0.7832105207887713,4,1
4,"WBB0014X=WBB0014X=1=en, ja=High",0.7628193603675366,4,2
4,"WBB0014X=WBB0014X=1=en, ja=High",0.725950561356461,4,3
4,"WBB0014X=WBB0014X=1=en, ja=High",0.8021591593463632,4,4
4,"WBB0014X=WBB0014X=1=en, ja=High",0.9010771060157854,4,5
4,"WBB0014X=WBB0014X=1=en, ja=High",0.7514337959032718,5,1
4,"WBB0014X=WBB0014X=1=en, ja=High",0.7507304284742302,5,2
4,"WBB0014X=WBB0014X=1=en, ja=High",0.6795235459900617,5,3
4,"WBB0014X=WBB0014X=1=en, ja=High",0.7887790576443481,5,4
4,"WBB0014X=WBB0014X=1=en, ja=High",0.8614919408270363,5,5
4,"WBB0014X=WBB0014X=1=en, ja=High",0.739066201603396,6,1
4,"WBB0014X=WBB0014X=1=en, ja=High",0.7477861445159063,6,2
4,"WBB0014X=WBB0014X=1=en, ja=High",0.6888154286163044,6,3
4,"WBB0014X=WBB0014X=1=en, ja=High",0.7709425620270149,6,4
4,"WBB0014X=WBB0014X=1=en, ja=High",0.8635048973668111,6,5
5,"WBB0015X=WBB0015X=1=en, ja=High",0.8192049794155323,1,1
5,"WBB0015X=WBB0015X=1=en, ja=High",0.87802414393096,1,2
5,"WBB0015X=WBB0015X=1=en, ja=High",0.7841725590066908,1,3
5,"WBB0015X=WBB0015X=1=en, ja=High",0.8313061821848235,1,4
5,"WBB0015X=WBB0015X=1=en, ja=High",0.8058441634781397,1,5
5,"WBB0015X=WBB0015X=1=en, ja=High",0.8248102239658711,2,1
5,"WBB0015X=WBB0015X=1=en, ja=High",0.8679776506278927,2,2
5,"WBB0015X=WBB0015X=1=en, ja=High",0.7839412473566414,2,3
5,"WBB0015X=WBB0015X=1=en, ja=High",0.8188194392136293,2,4
5,"WBB0015X=WBB0015X=1=en, ja=High",0.8229984558465862,2,5
5,"WBB0015X=WBB0015X=1=en, ja=High",0.8319241676253506,3,1
5,"WBB0015X=WBB0015X=1=en, ja=High",0.8467400331145469,3,2
5,"WBB0015X=WBB0015X=1=en, ja=High",0.8024858416967942,3,3
5,"WBB0015X=WBB0015X=1=en, ja=High",0.8419145778044377,3,4
5,"WBB0015X=WBB0015X=1=en, ja=High",0.8429851806984144,3,5
6,"WBD0022X=WBD0022X=1=en, ja=High",0.9134333244387591,1,1
6,"WBD0022X=WBD0022X=1=en, ja=High",0.9284488901272832,1,2
6,"WBD0022X=WBD0022X=1=en, ja=High",0.9051193359688332,1,3
6,"WBD0022X=WBD0022X=1=en, ja=High",0.9134217293791826,1,4
6,"WBD0022X=WBD0022X=1=en, ja=High",0.8887251225178998,1,5
6,"WBD0022X=WBD0022X=1=en, ja=High",0.8800450875484636,2,1
6,"WBD0022X=WBD0022X=1=en, ja=High",0.8981923234424143,2,2
6,"WBD0022X=WBD0022X=1=en, ja=High",0.8858588464322334,2,3
6,"WBD0022X=WBD0022X=1=en, ja=High",0.8914847479234099,2,4
6,"WBD0022X=WBD0022X=1=en, ja=High",0.8602017695254556,2,5
6,"WBD0022X=WBD0022X=1=en, ja=High",0.8678119408552246,3,1
6,"WBD0022X=WBD0022X=1=en, ja=High",0.882385416782842,3,2
6,"WBD0022X=WBD0022X=1=en, ja=High",0.8730486864405647,3,3
6,"WBD0022X=WBD0022X=1=en, ja=High",0.8679725070290651,3,4
6,"WBD0022X=WBD0022X=1=en, ja=High",0.8199982426699362,3,5
6,"WBD0022X=WBD0022X=1=en, ja=High",0.8823205968260218,4,1
6,"WBD0022X=WBD0022X=1=en, ja=High",0.9052868133484937,4,2
6,"WBD0022X=WBD0022X=1=en, ja=High",0.8855686593263256,4,3
6,"WBD0022X=WBD0022X=1=en, ja=High",0.877354719772859,4,4
6,"WBD0022X=WBD0022X=1=en, ja=High",0.8669833128260644,4,5
6,"WBD0022X=WBD0022X=1=en, ja=High",0.8898071937674025,5,1
6,"WBD0022X=WBD0022X=1=en, ja=High",0.9108368912977295,5,2
6,"WBD0022X=WBD0022X=1=en, ja=High",0.8792162485560578,5,3
6,"WBD0022X=WBD0022X=1=en, ja=High",0.8918878570453073,5,4
6,"WBD0022X=WBD0022X=1=en, ja=High",0.8754971271661697,5,5
7,"WBC0074X=WBC0074X=1=en, ja=High",0.8698822220204309,1,1
7,"WBC0074X=WBC0074X=1=en, ja=High",0.8455870714865068,1,2
7,"WBC0074X=WBC0074X=1=en, ja=High",0.866700348237054,1,3
7,"WBC0074X=WBC0074X=1=en, ja=High",0.9005224677036552,1,4
7,"WBC0074X=WBC0074X=1=en, ja=High",0.867454034576551,1,5
7,"WBC0074X=WBC0074X=1=en, ja=High",0.8875830527964188,2,1
7,"WBC0074X=WBC0074X=1=en, ja=High",0.8464505624259517,2,2
7,"WBC0074X=WBC0074X=1=en, ja=High",0.8927904595964098,2,3
7,"WBC0074X=WBC0074X=1=en, ja=High",0.908830130364848,2,4
7,"WBC0074X=WBC0074X=1=en, ja=High",0.8814746804508808,2,5
8,"WBG0037X=WBG0037X=1=en, ja=High",0.8568234396942034,1,1
8,"WBG0037X=WBG0037X=1=en, ja=High",0.9162550277631125,1,2
8,"WBG0037X=WBG0037X=1=en, ja=High",0.9183066146345639,1,3
8,"WBG0037X=WBG0037X=1=en, ja=High",0.9212747632351412,1,4
8,"WBG0037X=WBG0037X=1=en, ja=High",0.856690763997512,1,5
8,"WBG0037X=WBG0037X=1=en, ja=High",0.859948595514533,2,1
8,"WBG0037X=WBG0037X=1=en, ja=High",0.9288865682302612,2,2
8,"WBG0037X=WBG0037X=1=en, ja=High",0.9269813081800282,2,3
8,"WBG0037X=WBG0037X=1=en, ja=High",0.9274981592076748,2,4
8,"WBG0037X=WBG0037X=1=en, ja=High",0.8777040555568396,2,5
8,"WBG0037X=WBG0037X=1=en, ja=High",0.8545795073605195,3,1
8,"WBG0037X=WBG0037X=1=en, ja=High",0.8994942513147282,3,2
8,"WBG0037X=WBG0037X=1=en, ja=High",0.9008965735256883,3,3
8,"WBG0037X=WBG0037X=1=en, ja=High",0.9082881351725574,3,4
8,"WBG0037X=WBG0037X=1=en, ja=High",0.8439223360895588,3,5
9,"WBS0024X=WBS0024X=1=en, ja=High",0.8776473739027622,1,1
9,"WBS0024X=WBS0024X=1=en, ja=High",0.8708174803236459,1,2
9,"WBS0024X=WBS0024X=1=en, ja=High",0.8660398356608384,1,3
9,"WBS0024X=WBS0024X=1=en, ja=High",0.7511075332256602,1,4
9,"WBS0024X=WBS0024X=1=en, ja=High",0.8884817967306493,1,5
9,"WBS0024X=WBS0024X=1=en, ja=High",0.857979244827128,2,1
9,"WBS0024X=WBS0024X=1=en, ja=High",0.8706932208509646,2,2
9,"WBS0024X=WBS0024X=1=en, ja=High",0.8881195312485561,2,3
9,"WBS0024X=WBS0024X=1=en, ja=High",0.7357947025530513,2,4
9,"WBS0024X=WBS0024X=1=en, ja=High",0.9041235809332926,2,5
9,"WBS0024X=WBS0024X=1=en, ja=High",0.87527279653083,3,1
9,"WBS0024X=WBS0024X=1=en, ja=High",0.9196086896610176,3,2
9,"WBS0024X=WBS0024X=1=en, ja=High",0.8734687948512752,3,3
9,"WBS0024X=WBS0024X=1=en, ja=High",0.7803716364251032,3,4
9,"WBS0024X=WBS0024X=1=en, ja=High",0.8819787977753484,3,5
9,"WBS0024X=WBS0024X=1=en, ja=High",0.880879231136348,4,1
9,"WBS0024X=WBS0024X=1=en, ja=High",0.9134389404275978,4,2
9,"WBS0024X=WBS0024X=1=en, ja=High",0.8924452246414174,4,3
9,"WBS0024X=WBS0024X=1=en, ja=High",0.7621604338480823,4,4
9,"WBS0024X=WBS0024X=1=en, ja=High",0.9018349879658926,4,5
10,"WBS0027X=WBS0027X=1=en, ja=High",0.8620890286521788,1,1
10,"WBS0027X=WBS0027X=1=en, ja=High",0.846463589495043,1,2
