image_name,recall,id
"WBS0038X=WBS0038X=1=en, ja=High",0.8997154395623171,1
"WBS0033X=WBS0033X=1=en, ja=High",0.9051686609166759,2
"WBS0022X=WBS0022X=1=en, ja=High",0.911592400375448,3
"WBB0014X=WBB0014X=1=en, ja=High",0.934080944749312,4
"WBB0015X=WBB0015X=1=en, ja=High",0.9139316031950372,5
"WBD0022X=WBD0022X=1=en, ja=High",0.895346734655217,6
"WBC0074X=WBC0074X=1=en, ja=High",0.9249110418997584,7
"WBG0037X=WBG0037X=1=en, ja=High",0.8879528568260858,8
"WBS0024X=WBS0024X=1=en, ja=High",0.9019316599904432,9
"WBS0027X=WBS0027X=1=en, ja=High",0.8953420891001516,10
"WBA0025X=WBA0025X=1=en, ja=High",0.9045648323606885,11
"WBA0026X=WBA0026X=1=en, ja=High",0.9047138082765693,12
"WBA0012X=WBA0012X=1=en, ja=High",0.8975010658759606,13
"WBA0027X=WBA0027X=1=en, ja=High",0.8891905187391083,14
"WBA0028X=WBA0028X=1=en, ja=High",0.8671383410335999,15
"WBB0061X=WBB0061X=1=en, ja=High",0.8893123146340752,16
"WBC0045X=WBC0045X=1=en, ja=High",0.9085549226370948,17
