image_name,recall,id
"WBS0038X=WBS0038X=1=en, ja=High",0.9047541148179739,1
"WBS0033X=WBS0033X=1=en, ja=High",0.8855762448965745,2
"WBS0022X=WBS0022X=1=en, ja=High",0.8859077137829604,3
"WBB0014X=WBB0014X=1=en, ja=High",0.903780061335795,4
"WBB0015X=WBB0015X=1=en, ja=High",0.9102039441494956,5
"WBD0022X=WBD0022X=1=en, ja=High",0.8793571055791537,6
"WBC0074X=WBC0074X=1=en, ja=High",0.8837636847422096,7
"WBG0037X=WBG0037X=1=en, ja=High",0.8841325695752404,8
"WBS0024X=WBS0024X=1=en, ja=High",0.9246180478440773,9
"WBS0027X=WBS0027X=1=en, ja=High",0.9121410213466066,10
"WBA0025X=WBA0025X=1=en, ja=High",0.8892409657620547,11
"WBA0026X=WBA0026X=1=en, ja=High",0.8833283751821517,12
"WBA0012X=WBA0012X=1=en, ja=High",0.9002452495884953,13
"WBA0027X=WBA0027X=1=en, ja=High",0.9145778363692098,14
"WBA0028X=WBA0028X=1=en, ja=High",0.8779343304400186,15
"WBB0061X=WBB0061X=1=en, ja=High",0.8510708919733588,16
"WBC0045X=WBC0045X=1=en, ja=High",0.9119166289654812,17
