id,image_name,score,gt_qa_id,gt_question,m_qa_id,m_question
1,"WBS0038X=WBS0038X=1=en, ja=High",0.2630208333333333,1,"""Can I turn on my vehicle's heating remotely?""",1,"""What type of vehicle is depicted in the image?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.2608471074380165,1,"""Can I turn on my vehicle's heating remotely?""",2,"""What is happening on the right side of the image?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.20609318996415768,1,"""Can I turn on my vehicle's heating remotely?""",3,"""What seems to be the relation between the car and the mobile phone?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.2608471074380165,1,"""Can I turn on my vehicle's heating remotely?""",4,"""Which direction are the arrows pointing to on the car?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.2587090163934426,1,"""Can I turn on my vehicle's heating remotely?""",5,"""Are there any visible wheels on the car in the image?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.23846153846153847,2,"""Is it possible to cool my vehicle's interior before I start driving?""",1,"""What type of vehicle is depicted in the image?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.20103503184713375,2,"""Is it possible to cool my vehicle's interior before I start driving?""",2,"""What is happening on the right side of the image?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.197265625,2,"""Is it possible to cool my vehicle's interior before I start driving?""",3,"""What seems to be the relation between the car and the mobile phone?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.20103503184713375,2,"""Is it possible to cool my vehicle's interior before I start driving?""",4,"""Which direction are the arrows pointing to on the car?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.1617440225035162,2,"""Is it possible to cool my vehicle's interior before I start driving?""",5,"""Are there any visible wheels on the car in the image?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.2900604686318972,3,"""Does remote operation of the climate control affect my vehicle's battery?""",1,"""What type of vehicle is depicted in the image?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.3013513513513513,3,"""Does remote operation of the climate control affect my vehicle's battery?""",2,"""What is happening on the right side of the image?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.20902317880794705,3,"""Does remote operation of the climate control affect my vehicle's battery?""",3,"""What seems to be the relation between the car and the mobile phone?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.21326013513513511,3,"""Does remote operation of the climate control affect my vehicle's battery?""",4,"""Which direction are the arrows pointing to on the car?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.2118288590604027,3,"""Does remote operation of the climate control affect my vehicle's battery?""",5,"""Are there any visible wheels on the car in the image?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.20232371794871798,4,"""How do I access my vehicle's climate control system through my smartphone?""",1,"""What type of vehicle is depicted in the image?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.16277423920736023,4,"""How do I access my vehicle's climate control system through my smartphone?""",2,"""What is happening on the right side of the image?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.1597222222222222,4,"""How do I access my vehicle's climate control system through my smartphone?""",3,"""What seems to be the relation between the car and the mobile phone?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.16277423920736023,4,"""How do I access my vehicle's climate control system through my smartphone?""",4,"""Which direction are the arrows pointing to on the car?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.1617440225035162,4,"""How do I access my vehicle's climate control system through my smartphone?""",5,"""Are there any visible wheels on the car in the image?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.25306122448979596,5,"""Can using the climate control before driving improve my vehicle's range?""",1,"""What type of vehicle is depicted in the image?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.21326013513513511,5,"""Can using the climate control before driving improve my vehicle's range?""",2,"""What is happening on the right side of the image?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.20902317880794705,5,"""Can using the climate control before driving improve my vehicle's range?""",3,"""What seems to be the relation between the car and the mobile phone?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.21326013513513511,5,"""Can using the climate control before driving improve my vehicle's range?""",4,"""Which direction are the arrows pointing to on the car?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.2118288590604027,5,"""Can using the climate control before driving improve my vehicle's range?""",5,"""Are there any visible wheels on the car in the image?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.2446705426356589,6,"""How can I operate the climate control system before driving?""",1,"""What type of vehicle is depicted in the image?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.24278846153846156,6,"""How can I operate the climate control system before driving?""",2,"""What is happening on the right side of the image?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.237312030075188,6,"""How can I operate the climate control system before driving?""",3,"""What seems to be the relation between the car and the mobile phone?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.24278846153846156,6,"""How can I operate the climate control system before driving?""",4,"""Which direction are the arrows pointing to on the car?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.24093511450381686,6,"""How can I operate the climate control system before driving?""",5,"""Are there any visible wheels on the car in the image?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.21426577331099939,1,"""What is the function of the Approaching Vehicle Sound for Pedestrians (VSP) system in my vehicle?""",1,"""Is there a car in the image?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.18507462686567164,1,"""What is the function of the Approaching Vehicle Sound for Pedestrians (VSP) system in my vehicle?""",2,"""How many people can be seen in the image?"""
