id,image_name,score,gt_qa_id,gt_question,m_qa_id,m_question
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8885439506241886,1,"""Can I turn on my vehicle's heating remotely?""",1,"""What does the image indicate about the vehicle?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8952118602109826,1,"""Can I turn on my vehicle's heating remotely?""",2,"""How does the vehicle communicate with the smartphone?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8775277556564133,1,"""Can I turn on my vehicle's heating remotely?""",3,"""Is there a specific direction from which the smartphone is sending signals to the vehicle?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.872408819259231,1,"""Can I turn on my vehicle's heating remotely?""",4,"""What might the arrows pointing towards the car indicate?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8696663377487276,1,"""Can I turn on my vehicle's heating remotely?""",5,"""Can the functionality depicted be controlled manually, without a smartphone?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.9060383339987337,2,"""Is it possible to cool my vehicle's interior before I start driving?""",1,"""What does the image indicate about the vehicle?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8990859140644486,2,"""Is it possible to cool my vehicle's interior before I start driving?""",2,"""How does the vehicle communicate with the smartphone?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.9006675013111718,2,"""Is it possible to cool my vehicle's interior before I start driving?""",3,"""Is there a specific direction from which the smartphone is sending signals to the vehicle?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8892224627886579,2,"""Is it possible to cool my vehicle's interior before I start driving?""",4,"""What might the arrows pointing towards the car indicate?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8541759541866443,2,"""Is it possible to cool my vehicle's interior before I start driving?""",5,"""Can the functionality depicted be controlled manually, without a smartphone?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8934540844604032,3,"""Does remote operation of the climate control affect my vehicle's battery?""",1,"""What does the image indicate about the vehicle?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8939428568300193,3,"""Does remote operation of the climate control affect my vehicle's battery?""",2,"""How does the vehicle communicate with the smartphone?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8910232980365599,3,"""Does remote operation of the climate control affect my vehicle's battery?""",3,"""Is there a specific direction from which the smartphone is sending signals to the vehicle?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8463663810374936,3,"""Does remote operation of the climate control affect my vehicle's battery?""",4,"""What might the arrows pointing towards the car indicate?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.869563866017157,3,"""Does remote operation of the climate control affect my vehicle's battery?""",5,"""Can the functionality depicted be controlled manually, without a smartphone?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8864579657197788,4,"""How do I access my vehicle's climate control system through my smartphone?""",1,"""What does the image indicate about the vehicle?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.9247157881879162,4,"""How do I access my vehicle's climate control system through my smartphone?""",2,"""How does the vehicle communicate with the smartphone?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8924754906612709,4,"""How do I access my vehicle's climate control system through my smartphone?""",3,"""Is there a specific direction from which the smartphone is sending signals to the vehicle?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8608718075530845,4,"""How do I access my vehicle's climate control system through my smartphone?""",4,"""What might the arrows pointing towards the car indicate?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8840540675872206,4,"""How do I access my vehicle's climate control system through my smartphone?""",5,"""Can the functionality depicted be controlled manually, without a smartphone?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.904958894455011,5,"""Can using the climate control before driving improve my vehicle's range?""",1,"""What does the image indicate about the vehicle?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.9078413572609545,5,"""Can using the climate control before driving improve my vehicle's range?""",2,"""How does the vehicle communicate with the smartphone?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.9092301627449663,5,"""Can using the climate control before driving improve my vehicle's range?""",3,"""Is there a specific direction from which the smartphone is sending signals to the vehicle?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8802315221470686,5,"""Can using the climate control before driving improve my vehicle's range?""",4,"""What might the arrows pointing towards the car indicate?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8770517812947836,5,"""Can using the climate control before driving improve my vehicle's range?""",5,"""Can the functionality depicted be controlled manually, without a smartphone?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8952674306424881,6,"""How can I operate the climate control system before driving?""",1,"""What does the image indicate about the vehicle?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.9039836575762484,6,"""How can I operate the climate control system before driving?""",2,"""How does the vehicle communicate with the smartphone?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8948444287584454,6,"""How can I operate the climate control system before driving?""",3,"""Is there a specific direction from which the smartphone is sending signals to the vehicle?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8731992211647449,6,"""How can I operate the climate control system before driving?""",4,"""What might the arrows pointing towards the car indicate?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8882981745301696,6,"""How can I operate the climate control system before driving?""",5,"""Can the functionality depicted be controlled manually, without a smartphone?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8735148177483681,1,"""What is the function of the Approaching Vehicle Sound for Pedestrians (VSP) system in my vehicle?""",1,"""What is the main subject depicted in the image?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.9095370145422756,1,"""What is the function of the Approaching Vehicle Sound for Pedestrians (VSP) system in my vehicle?""",2,"""What appears to be happening to the people next to the vehicle in the image?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8982183195574555,1,"""What is the function of the Approaching Vehicle Sound for Pedestrians (VSP) system in my vehicle?""",3,"""Is the car in the image in motion?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8939791787201401,1,"""What is the function of the Approaching Vehicle Sound for Pedestrians (VSP) system in my vehicle?""",4,"""Can the source of the noise be determined from the image?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.9095069215541141,1,"""What is the function of the Approaching Vehicle Sound for Pedestrians (VSP) system in my vehicle?""",5,"""How many people are affected by the noise from the vehicle?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8578185573978659,2,"""When does the VSP system activate in my vehicle?""",1,"""What is the main subject depicted in the image?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8969572242689139,2,"""When does the VSP system activate in my vehicle?""",2,"""What appears to be happening to the people next to the vehicle in the image?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8815701223117098,2,"""When does the VSP system activate in my vehicle?""",3,"""Is the car in the image in motion?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8523570640296751,2,"""When does the VSP system activate in my vehicle?""",4,"""Can the source of the noise be determined from the image?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.864115466149169,2,"""When does the VSP system activate in my vehicle?""",5,"""How many people are affected by the noise from the vehicle?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8570901438799866,3,"""At what speed does the VSP system stop producing sound when the vehicle is accelerating?""",1,"""What is the main subject depicted in the image?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8982791367031875,3,"""At what speed does the VSP system stop producing sound when the vehicle is accelerating?""",2,"""What appears to be happening to the people next to the vehicle in the image?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8751130619394936,3,"""At what speed does the VSP system stop producing sound when the vehicle is accelerating?""",3,"""Is the car in the image in motion?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8864347625934986,3,"""At what speed does the VSP system stop producing sound when the vehicle is accelerating?""",4,"""Can the source of the noise be determined from the image?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8980096373226356,3,"""At what speed does the VSP system stop producing sound when the vehicle is accelerating?""",5,"""How many people are affected by the noise from the vehicle?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8596375902811285,4,"""How does the VSP system respond when the vehicle is decelerating?""",1,"""What is the main subject depicted in the image?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.895497384228065,4,"""How does the VSP system respond when the vehicle is decelerating?""",2,"""What appears to be happening to the people next to the vehicle in the image?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8608119778872481,4,"""How does the VSP system respond when the vehicle is decelerating?""",3,"""Is the car in the image in motion?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8562844834133497,4,"""How does the VSP system respond when the vehicle is decelerating?""",4,"""Can the source of the noise be determined from the image?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.8809721042921266,4,"""How does the VSP system respond when the vehicle is decelerating?""",5,"""How many people are affected by the noise from the vehicle?"""
3,"WBS0022X=WBS0022X=1=en, ja=High",0.8363336266715846,1,"""How can I tell if my electric vehicle is currently charging?""",1,"""What is indicated by the arrow in the image?"""
3,"WBS0022X=WBS0022X=1=en, ja=High",0.8749345453608711,1,"""How can I tell if my electric vehicle is currently charging?""",2,"""Is there any control visible on the dashboard?"""
3,"WBS0022X=WBS0022X=1=en, ja=High",0.8793695230811273,1,"""How can I tell if my electric vehicle is currently charging?""",3,"""What might the lines represent on the windshield?"""
3,"WBS0022X=WBS0022X=1=en, ja=High",0.8800960255029213,1,"""How can I tell if my electric vehicle is currently charging?""",4,"""Where is the defrost feature targeted in this vehicle?"""
