image_name,precision,id
"WBS0038X=WBS0038X=1=en, ja=High",0.9311075621262884,1
"WBS0033X=WBS0033X=1=en, ja=High",0.92911127341397,2
"WBS0022X=WBS0022X=1=en, ja=High",0.9191043750280485,3
"WBB0014X=WBB0014X=1=en, ja=High",0.9383904803676028,4
"WBB0015X=WBB0015X=1=en, ja=High",0.9125477013210258,5
"WBD0022X=WBD0022X=1=en, ja=High",0.9461850447401929,6
"WBC0074X=WBC0074X=1=en, ja=High",0.9335854011956839,7
"WBG0037X=WBG0037X=1=en, ja=High",0.9595090145318143,8
"WBS0024X=WBS0024X=1=en, ja=High",0.9441378708581176,9
"WBS0027X=WBS0027X=1=en, ja=High",0.9106043704305758,10
"WBA0025X=WBA0025X=1=en, ja=High",0.906492027784569,11
"WBA0026X=WBA0026X=1=en, ja=High",0.9219562647415565,12
"WBA0012X=WBA0012X=1=en, ja=High",0.878210977400714,13
"WBA0027X=WBA0027X=1=en, ja=High",0.9046758932650145,14
"WBA0028X=WBA0028X=1=en, ja=High",0.9175425336956977,15
"WBB0061X=WBB0061X=1=en, ja=High",0.90080874407684,16
"WBC0045X=WBC0045X=1=en, ja=High",0.9364350071299347,17
