id,image_name,score,gt_qa_id,gt_question,m_qa_id,m_question
1,"WBS0038X=WBS0038X=1=en, ja=High",0.0,1,"""Can I turn on my vehicle's heating remotely?""",1,"""What does the image imply about the function being depicted?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.0,1,"""Can I turn on my vehicle's heating remotely?""",2,"""What might the arrows pointing towards the front of the vehicle represent?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.0,1,"""Can I turn on my vehicle's heating remotely?""",3,"""Is there a physical connection between the mobile device and the car in the image?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.0,1,"""Can I turn on my vehicle's heating remotely?""",4,"""What action is the mobile device likely performing in relation to the vehicle?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",9.788429383461836e-232,1,"""Can I turn on my vehicle's heating remotely?""",5,"""Based on the image, can you tell if the vehicle is started?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.0,2,"""Is it possible to cool my vehicle's interior before I start driving?""",1,"""What does the image imply about the function being depicted?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.0,2,"""Is it possible to cool my vehicle's interior before I start driving?""",2,"""What might the arrows pointing towards the front of the vehicle represent?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",9.257324954728539e-232,2,"""Is it possible to cool my vehicle's interior before I start driving?""",3,"""Is there a physical connection between the mobile device and the car in the image?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",9.594503055152632e-232,2,"""Is it possible to cool my vehicle's interior before I start driving?""",4,"""What action is the mobile device likely performing in relation to the vehicle?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.0,2,"""Is it possible to cool my vehicle's interior before I start driving?""",5,"""Based on the image, can you tell if the vehicle is started?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",9.269981669466712e-232,3,"""Does remote operation of the climate control affect my vehicle's battery?""",1,"""What does the image imply about the function being depicted?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",5.233427736988301e-155,3,"""Does remote operation of the climate control affect my vehicle's battery?""",2,"""What might the arrows pointing towards the front of the vehicle represent?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",9.257324954728539e-232,3,"""Does remote operation of the climate control affect my vehicle's battery?""",3,"""Is there a physical connection between the mobile device and the car in the image?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",9.594503055152632e-232,3,"""Does remote operation of the climate control affect my vehicle's battery?""",4,"""What action is the mobile device likely performing in relation to the vehicle?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",9.788429383461836e-232,3,"""Does remote operation of the climate control affect my vehicle's battery?""",5,"""Based on the image, can you tell if the vehicle is started?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.0,4,"""How do I access my vehicle's climate control system through my smartphone?""",1,"""What does the image imply about the function being depicted?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.0,4,"""How do I access my vehicle's climate control system through my smartphone?""",2,"""What might the arrows pointing towards the front of the vehicle represent?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.0,4,"""How do I access my vehicle's climate control system through my smartphone?""",3,"""Is there a physical connection between the mobile device and the car in the image?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.0,4,"""How do I access my vehicle's climate control system through my smartphone?""",4,"""What action is the mobile device likely performing in relation to the vehicle?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.0,4,"""How do I access my vehicle's climate control system through my smartphone?""",5,"""Based on the image, can you tell if the vehicle is started?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",9.269981669466712e-232,5,"""Can using the climate control before driving improve my vehicle's range?""",1,"""What does the image imply about the function being depicted?"""
