image_name,f1_score,id_recall
"WBS0038X=WBS0038X=1=en, ja=High",0.9006369025797606,1
"WBS0033X=WBS0033X=1=en, ja=High",0.8875927125568258,2
"WBS0022X=WBS0022X=1=en, ja=High",0.9371513421756141,3
"WBB0014X=WBB0014X=1=en, ja=High",0.9499169854562298,4
"WBB0015X=WBB0015X=1=en, ja=High",0.9212225456524913,5
"WBD0022X=WBD0022X=1=en, ja=High",0.9294820603720123,6
"WBC0074X=WBC0074X=1=en, ja=High",0.9510852836661032,7
"WBG0037X=WBG0037X=1=en, ja=High",0.9314018952455513,8
"WBS0024X=WBS0024X=1=en, ja=High",0.9287654343748715,9
"WBS0027X=WBS0027X=1=en, ja=High",0.9234351615992686,10
"WBA0025X=WBA0025X=1=en, ja=High",0.9215843530989186,11
"WBA0026X=WBA0026X=1=en, ja=High",0.9252487112937056,12
"WBA0012X=WBA0012X=1=en, ja=High",0.9106480524423933,13
"WBA0027X=WBA0027X=1=en, ja=High",0.8914822654698915,14
"WBA0028X=WBA0028X=1=en, ja=High",0.9203254752458769,15
"WBB0061X=WBB0061X=1=en, ja=High",0.9082966529529963,16
"WBC0045X=WBC0045X=1=en, ja=High",0.9117245679649585,17
