id,image_name,score,gt_qa_id,gt_answer,m_qa_id,m_answer
1,"WBS0038X=WBS0038X=1=en, ja=High",0.0958762886597938,1,"""Yes, you can turn on your vehicle's heating remotely using the NissanConnect® Services app on an internet-enabled smartphone. This feature allows you to warm up the interior before driving, while the vehicle is still charging.""",1,"""A car is depicted in the image."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.08134664948453608,1,"""Yes, you can turn on your vehicle's heating remotely using the NissanConnect® Services app on an internet-enabled smartphone. This feature allows you to warm up the interior before driving, while the vehicle is still charging.""",2,"""A mobile phone is emitting wireless signals."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.12019845532197841,1,"""Yes, you can turn on your vehicle's heating remotely using the NissanConnect® Services app on an internet-enabled smartphone. This feature allows you to warm up the interior before driving, while the vehicle is still charging.""",3,"""The car appears to be receiving signals from the mobile phone, indicating a wireless connection or communication."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.10905086672350099,1,"""Yes, you can turn on your vehicle's heating remotely using the NissanConnect® Services app on an internet-enabled smartphone. This feature allows you to warm up the interior before driving, while the vehicle is still charging.""",4,"""The arrows on the car are pointing forward and backward."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.10905086672350099,1,"""Yes, you can turn on your vehicle's heating remotely using the NissanConnect® Services app on an internet-enabled smartphone. This feature allows you to warm up the interior before driving, while the vehicle is still charging.""",5,"""No wheels are visible on the car in the image."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.11646678966789668,2,"""Yes, with the NissanConnect® Services app, you can remotely activate your vehicle's air conditioning to cool the interior before you begin your drive.""",1,"""A car is depicted in the image."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.09430094300943008,2,"""Yes, with the NissanConnect® Services app, you can remotely activate your vehicle's air conditioning to cool the interior before you begin your drive.""",2,"""A mobile phone is emitting wireless signals."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.17006802721088435,2,"""Yes, with the NissanConnect® Services app, you can remotely activate your vehicle's air conditioning to cool the interior before you begin your drive.""",3,"""The car appears to be receiving signals from the mobile phone, indicating a wireless connection or communication."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.13576642335766423,2,"""Yes, with the NissanConnect® Services app, you can remotely activate your vehicle's air conditioning to cool the interior before you begin your drive.""",4,"""The arrows on the car are pointing forward and backward."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.13576642335766423,2,"""Yes, with the NissanConnect® Services app, you can remotely activate your vehicle's air conditioning to cool the interior before you begin your drive.""",5,"""No wheels are visible on the car in the image."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.1211726384364821,3,"""Operating the climate control system remotely while your vehicle is charging can help reduce the load on the Li-ion battery during driving, potentially increasing the vehicle's driving range.""",1,"""A car is depicted in the image."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.10280944625407167,3,"""Operating the climate control system remotely while your vehicle is charging can help reduce the load on the Li-ion battery during driving, potentially increasing the vehicle's driving range.""",2,"""A mobile phone is emitting wireless signals."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.13408455625436758,3,"""Operating the climate control system remotely while your vehicle is charging can help reduce the load on the Li-ion battery during driving, potentially increasing the vehicle's driving range.""",3,"""The car appears to be receiving signals from the mobile phone, indicating a wireless connection or communication."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.13754480286738352,3,"""Operating the climate control system remotely while your vehicle is charging can help reduce the load on the Li-ion battery during driving, potentially increasing the vehicle's driving range.""",4,"""The arrows on the car are pointing forward and backward."""
