image_name,precision,id
"WBS0038X=WBS0038X=1=en, ja=High",0.9097308768022279,1
"WBS0033X=WBS0033X=1=en, ja=High",0.871942900936787,2
"WBS0022X=WBS0022X=1=en, ja=High",0.9092936024315659,3
"WBB0014X=WBB0014X=1=en, ja=High",0.9141988982803374,4
"WBB0015X=WBB0015X=1=en, ja=High",0.9078015133199407,5
"WBD0022X=WBD0022X=1=en, ja=High",0.9167939802661953,6
"WBC0074X=WBC0074X=1=en, ja=High",0.9210393107955147,7
"WBG0037X=WBG0037X=1=en, ja=High",0.8770825836030051,8
"WBS0024X=WBS0024X=1=en, ja=High",0.9325100474310444,9
"WBS0027X=WBS0027X=1=en, ja=High",0.8922952060952916,10
"WBA0025X=WBA0025X=1=en, ja=High",0.8940255082586933,11
"WBA0026X=WBA0026X=1=en, ja=High",0.9190501031613237,12
"WBA0012X=WBA0012X=1=en, ja=High",0.9059519233175463,13
"WBA0027X=WBA0027X=1=en, ja=High",0.8950752960445568,14
"WBA0028X=WBA0028X=1=en, ja=High",0.90343228649517,15
"WBB0061X=WBB0061X=1=en, ja=High",0.8932905802091631,16
"WBC0045X=WBC0045X=1=en, ja=High",0.9021913790224246,17
