id,image_name,score,gt_qa_id,m_qa_id
1,"WBS0038X=WBS0038X=1=en, ja=High",0.17944856099656356,1,1
1,"WBS0038X=WBS0038X=1=en, ja=High",0.17109687846127625,1,2
1,"WBS0038X=WBS0038X=1=en, ja=High",0.16314582264306798,1,3
1,"WBS0038X=WBS0038X=1=en, ja=High",0.1849489870807587,1,4
1,"WBS0038X=WBS0038X=1=en, ja=High",0.18387994155847176,1,5
1,"WBS0038X=WBS0038X=1=en, ja=High",0.1774641640647175,2,1
1,"WBS0038X=WBS0038X=1=en, ja=High",0.14766798742828185,2,2
1,"WBS0038X=WBS0038X=1=en, ja=High",0.18366682610544216,2,3
1,"WBS0038X=WBS0038X=1=en, ja=High",0.16840072760239894,2,4
1,"WBS0038X=WBS0038X=1=en, ja=High",0.14875522293059018,2,5
1,"WBS0038X=WBS0038X=1=en, ja=High",0.20561655353418967,3,1
1,"WBS0038X=WBS0038X=1=en, ja=High",0.20208039880271145,3,2
1,"WBS0038X=WBS0038X=1=en, ja=High",0.17155386753115726,3,3
1,"WBS0038X=WBS0038X=1=en, ja=High",0.17540246900125928,3,4
1,"WBS0038X=WBS0038X=1=en, ja=High",0.1883517055158644,3,5
1,"WBS0038X=WBS0038X=1=en, ja=High",0.15256658210139473,4,1
1,"WBS0038X=WBS0038X=1=en, ja=High",0.12300854558992691,4,2
1,"WBS0038X=WBS0038X=1=en, ja=High",0.1552686326102768,4,3
1,"WBS0038X=WBS0038X=1=en, ja=High",0.15015952103737185,4,4
1,"WBS0038X=WBS0038X=1=en, ja=High",0.14087201125175808,4,5
1,"WBS0038X=WBS0038X=1=en, ja=High",0.19295918367346937,5,1
1,"WBS0038X=WBS0038X=1=en, ja=High",0.16299167471042464,5,2
1,"WBS0038X=WBS0038X=1=en, ja=High",0.20484674701289968,5,3
1,"WBS0038X=WBS0038X=1=en, ja=High",0.17235444919300918,5,4
1,"WBS0038X=WBS0038X=1=en, ja=High",0.171638811155643,5,5
1,"WBS0038X=WBS0038X=1=en, ja=High",0.1535957755195101,6,1
1,"WBS0038X=WBS0038X=1=en, ja=High",0.1479173400129282,6,2
1,"WBS0038X=WBS0038X=1=en, ja=High",0.16683675903791995,6,3
1,"WBS0038X=WBS0038X=1=en, ja=High",0.1658784489966555,6,4
1,"WBS0038X=WBS0038X=1=en, ja=High",0.1605672091528025,6,5
2,"WBS0033X=WBS0033X=1=en, ja=High",0.16153280996838304,1,1
2,"WBS0033X=WBS0033X=1=en, ja=High",0.1362246995894842,1,2
2,"WBS0033X=WBS0033X=1=en, ja=High",0.12894269111726575,1,3
2,"WBS0033X=WBS0033X=1=en, ja=High",0.15340483358134405,1,4
2,"WBS0033X=WBS0033X=1=en, ja=High",0.1229008097177548,1,5
2,"WBS0033X=WBS0033X=1=en, ja=High",0.26866589179221584,2,1
2,"WBS0033X=WBS0033X=1=en, ja=High",0.23762434554973821,2,2
2,"WBS0033X=WBS0033X=1=en, ja=High",0.25225089968511016,2,3
2,"WBS0033X=WBS0033X=1=en, ja=High",0.26886840250242316,2,4
2,"WBS0033X=WBS0033X=1=en, ja=High",0.3000218239956057,2,5
2,"WBS0033X=WBS0033X=1=en, ja=High",0.1747270876263369,3,1
2,"WBS0033X=WBS0033X=1=en, ja=High",0.15756654247029026,3,2
2,"WBS0033X=WBS0033X=1=en, ja=High",0.17143694786611915,3,3
2,"WBS0033X=WBS0033X=1=en, ja=High",0.17011227947833316,3,4
2,"WBS0033X=WBS0033X=1=en, ja=High",0.1747270876263369,3,5
2,"WBS0033X=WBS0033X=1=en, ja=High",0.20782952069716776,4,1
2,"WBS0033X=WBS0033X=1=en, ja=High",0.21437430323299886,4,2
2,"WBS0033X=WBS0033X=1=en, ja=High",0.1793142555306984,4,3
2,"WBS0033X=WBS0033X=1=en, ja=High",0.187492335050282,4,4
2,"WBS0033X=WBS0033X=1=en, ja=High",0.21109803921568632,4,5
3,"WBS0022X=WBS0022X=1=en, ja=High",0.1758430169726753,1,1
3,"WBS0022X=WBS0022X=1=en, ja=High",0.16973997433776195,1,2
3,"WBS0022X=WBS0022X=1=en, ja=High",0.139496791313752,1,3
3,"WBS0022X=WBS0022X=1=en, ja=High",0.14538010635726364,1,4
3,"WBS0022X=WBS0022X=1=en, ja=High",0.1581391935224186,1,5
3,"WBS0022X=WBS0022X=1=en, ja=High",0.22054820950219023,2,1
3,"WBS0022X=WBS0022X=1=en, ja=High",0.21438074103515276,2,2
3,"WBS0022X=WBS0022X=1=en, ja=High",0.1646330737607715,2,3
3,"WBS0022X=WBS0022X=1=en, ja=High",0.16340441319579596,2,4
3,"WBS0022X=WBS0022X=1=en, ja=High",0.17001488814166354,2,5
4,"WBB0014X=WBB0014X=1=en, ja=High",0.13679517204107364,1,1
4,"WBB0014X=WBB0014X=1=en, ja=High",0.2151646140579742,1,2
4,"WBB0014X=WBB0014X=1=en, ja=High",0.1862367297978767,1,3
4,"WBB0014X=WBB0014X=1=en, ja=High",0.1941643013071584,1,4
4,"WBB0014X=WBB0014X=1=en, ja=High",0.15590978554224635,1,5
4,"WBB0014X=WBB0014X=1=en, ja=High",0.14272931634856964,2,1
4,"WBB0014X=WBB0014X=1=en, ja=High",0.17268776197347627,2,2
