image_name,precision,id
"WBS0038X=WBS0038X=1=en, ja=High",0.8704306158099913,1
"WBS0033X=WBS0033X=1=en, ja=High",0.8503869896896945,2
"WBS0022X=WBS0022X=1=en, ja=High",0.8389792938868653,3
"WBB0014X=WBB0014X=1=en, ja=High",0.9113314895325153,4
"WBB0015X=WBB0015X=1=en, ja=High",0.9125733873008618,5
"WBD0022X=WBD0022X=1=en, ja=High",0.8652034258532331,6
"WBC0074X=WBC0074X=1=en, ja=High",0.8633262132772928,7
"WBG0037X=WBG0037X=1=en, ja=High",0.8640582474389328,8
"WBS0024X=WBS0024X=1=en, ja=High",0.8790495112809594,9
"WBS0027X=WBS0027X=1=en, ja=High",0.8894659365209174,10
"WBA0025X=WBA0025X=1=en, ja=High",0.8589929694673496,11
"WBA0026X=WBA0026X=1=en, ja=High",0.8928191073140556,12
"WBA0012X=WBA0012X=1=en, ja=High",0.8743696933113251,13
"WBA0027X=WBA0027X=1=en, ja=High",0.8967794704728307,14
"WBA0028X=WBA0028X=1=en, ja=High",0.8737468927936741,15
"WBB0061X=WBB0061X=1=en, ja=High",0.8484583638806751,16
"WBC0045X=WBC0045X=1=en, ja=High",0.8760947111935814,17
