id,image_name,score,gt_qa_id,gt_answer,m_qa_id,m_answer
1,"WBS0038X=WBS0038X=1=en, ja=High",0.14490089758906965,1,"""Yes, you can turn on your vehicle's heating remotely using the NissanConnect® Services app on an internet-enabled smartphone. This feature allows you to warm up the interior before driving, while the vehicle is still charging.""",1,"""The diagram suggests that there is a wireless connection between the vehicle and the device, as indicated by the radiating waves."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.1846153846153846,1,"""Yes, you can turn on your vehicle's heating remotely using the NissanConnect® Services app on an internet-enabled smartphone. This feature allows you to warm up the interior before driving, while the vehicle is still charging.""",2,"""The arrows pointing away from the vehicle could represent the emission of a signal or the vehicle's capability to communicate outwardly."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.14783559931239257,1,"""Yes, you can turn on your vehicle's heating remotely using the NissanConnect® Services app on an internet-enabled smartphone. This feature allows you to warm up the interior before driving, while the vehicle is still charging.""",3,"""The device on the right side of the diagram appears to be a smartphone."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.10767396184062851,1,"""Yes, you can turn on your vehicle's heating remotely using the NissanConnect® Services app on an internet-enabled smartphone. This feature allows you to warm up the interior before driving, while the vehicle is still charging.""",4,"""No physical connection is depicted in the diagram; the interaction is shown as wireless."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.10554180418041803,1,"""Yes, you can turn on your vehicle's heating remotely using the NissanConnect® Services app on an internet-enabled smartphone. This feature allows you to warm up the interior before driving, while the vehicle is still charging.""",5,"""The radiating waves typically represent a wireless signal or communication, such as Wi-Fi, Bluetooth, or another form of wireless technology."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.1676894534037391,2,"""Yes, with the NissanConnect® Services app, you can remotely activate your vehicle's air conditioning to cool the interior before you begin your drive.""",1,"""The diagram suggests that there is a wireless connection between the vehicle and the device, as indicated by the radiating waves."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.22071678321678323,2,"""Yes, with the NissanConnect® Services app, you can remotely activate your vehicle's air conditioning to cool the interior before you begin your drive.""",2,"""The arrows pointing away from the vehicle could represent the emission of a signal or the vehicle's capability to communicate outwardly."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.1533772981614708,2,"""Yes, with the NissanConnect® Services app, you can remotely activate your vehicle's air conditioning to cool the interior before you begin your drive.""",3,"""The device on the right side of the diagram appears to be a smartphone."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.13333333333333336,2,"""Yes, with the NissanConnect® Services app, you can remotely activate your vehicle's air conditioning to cool the interior before you begin your drive.""",4,"""No physical connection is depicted in the diagram; the interaction is shown as wireless."""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.1485675571041425,2,"""Yes, with the NissanConnect® Services app, you can remotely activate your vehicle's air conditioning to cool the interior before you begin your drive.""",5,"""The radiating waves typically represent a wireless signal or communication, such as Wi-Fi, Bluetooth, or another form of wireless technology."""
