image_name,precision,id
"WBS0038X=WBS0038X=1=en, ja=High",0.14973400543988385,1
"WBS0033X=WBS0033X=1=en, ja=High",0.2127857425706921,2
"WBS0022X=WBS0022X=1=en, ja=High",0.11856216961668457,3
"WBB0014X=WBB0014X=1=en, ja=High",0.0627940688264229,4
"WBB0015X=WBB0015X=1=en, ja=High",0.0958614097645261,5
"WBD0022X=WBD0022X=1=en, ja=High",0.17797360716979874,6
"WBC0074X=WBC0074X=1=en, ja=High",0.10177161901509808,7
"WBG0037X=WBG0037X=1=en, ja=High",0.17390918167702854,8
"WBS0024X=WBS0024X=1=en, ja=High",0.19599529605418345,9
"WBS0027X=WBS0027X=1=en, ja=High",0.07999827887149018,10
"WBA0025X=WBA0025X=1=en, ja=High",0.191715768394301,11
"WBA0026X=WBA0026X=1=en, ja=High",0.07750893554742062,12
"WBA0012X=WBA0012X=1=en, ja=High",0.16698434287461442,13
"WBA0027X=WBA0027X=1=en, ja=High",0.07716159809183067,14
"WBA0028X=WBA0028X=1=en, ja=High",0.1487176639527999,15
"WBB0061X=WBB0061X=1=en, ja=High",0.27096628566262165,16
"WBC0045X=WBC0045X=1=en, ja=High",0.1796461176691239,17
