id,image_name,score,gt_qa_id,gt_question,m_qa_id,m_question
1,"WBS0038X=WBS0038X=1=en, ja=High",0.0,1,"""Can I turn on my vehicle's heating remotely?""",1,"""What type of vehicle is depicted in the image?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",1.0244914152188952e-231,1,"""Can I turn on my vehicle's heating remotely?""",2,"""What is happening on the right side of the image?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.0,1,"""Can I turn on my vehicle's heating remotely?""",3,"""What seems to be the relation between the car and the mobile phone?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",1.0244914152188952e-231,1,"""Can I turn on my vehicle's heating remotely?""",4,"""Which direction are the arrows pointing to on the car?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",1.0003688322288243e-231,1,"""Can I turn on my vehicle's heating remotely?""",5,"""Are there any visible wheels on the car in the image?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.0,2,"""Is it possible to cool my vehicle's interior before I start driving?""",1,"""What type of vehicle is depicted in the image?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.0,2,"""Is it possible to cool my vehicle's interior before I start driving?""",2,"""What is happening on the right side of the image?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",9.594503055152632e-232,2,"""Is it possible to cool my vehicle's interior before I start driving?""",3,"""What seems to be the relation between the car and the mobile phone?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",8.387826279040936e-232,2,"""Is it possible to cool my vehicle's interior before I start driving?""",4,"""Which direction are the arrows pointing to on the car?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.0,2,"""Is it possible to cool my vehicle's interior before I start driving?""",5,"""Are there any visible wheels on the car in the image?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",1.0016022933125248e-231,3,"""Does remote operation of the climate control affect my vehicle's battery?""",1,"""What type of vehicle is depicted in the image?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",5.21122277279896e-155,3,"""Does remote operation of the climate control affect my vehicle's battery?""",2,"""What is happening on the right side of the image?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",9.594503055152632e-232,3,"""Does remote operation of the climate control affect my vehicle's battery?""",3,"""What seems to be the relation between the car and the mobile phone?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",9.269981669466712e-232,3,"""Does remote operation of the climate control affect my vehicle's battery?""",4,"""Which direction are the arrows pointing to on the car?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",1.0003688322288243e-231,3,"""Does remote operation of the climate control affect my vehicle's battery?""",5,"""Are there any visible wheels on the car in the image?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.0,4,"""How do I access my vehicle's climate control system through my smartphone?""",1,"""What type of vehicle is depicted in the image?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.0,4,"""How do I access my vehicle's climate control system through my smartphone?""",2,"""What is happening on the right side of the image?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.0,4,"""How do I access my vehicle's climate control system through my smartphone?""",3,"""What seems to be the relation between the car and the mobile phone?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.0,4,"""How do I access my vehicle's climate control system through my smartphone?""",4,"""Which direction are the arrows pointing to on the car?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.0,4,"""How do I access my vehicle's climate control system through my smartphone?""",5,"""Are there any visible wheels on the car in the image?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",8.422437779564611e-232,5,"""Can using the climate control before driving improve my vehicle's range?""",1,"""What type of vehicle is depicted in the image?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",9.269981669466712e-232,5,"""Can using the climate control before driving improve my vehicle's range?""",2,"""What is happening on the right side of the image?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",9.594503055152632e-232,5,"""Can using the climate control before driving improve my vehicle's range?""",3,"""What seems to be the relation between the car and the mobile phone?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",9.269981669466712e-232,5,"""Can using the climate control before driving improve my vehicle's range?""",4,"""Which direction are the arrows pointing to on the car?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",1.0003688322288243e-231,5,"""Can using the climate control before driving improve my vehicle's range?""",5,"""Are there any visible wheels on the car in the image?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",9.412234823955334e-232,6,"""How can I operate the climate control system before driving?""",1,"""What type of vehicle is depicted in the image?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",1.0244914152188952e-231,6,"""How can I operate the climate control system before driving?""",2,"""What is happening on the right side of the image?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",9.594503055152632e-232,6,"""How can I operate the climate control system before driving?""",3,"""What seems to be the relation between the car and the mobile phone?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",1.0244914152188952e-231,6,"""How can I operate the climate control system before driving?""",4,"""Which direction are the arrows pointing to on the car?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",1.0003688322288243e-231,6,"""How can I operate the climate control system before driving?""",5,"""Are there any visible wheels on the car in the image?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",3.682245099646241e-232,1,"""What is the function of the Approaching Vehicle Sound for Pedestrians (VSP) system in my vehicle?""",1,"""Is there a car in the image?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",5.746727420065187e-232,1,"""What is the function of the Approaching Vehicle Sound for Pedestrians (VSP) system in my vehicle?""",2,"""How many people can be seen in the image?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",2.1986007635391227e-232,1,"""What is the function of the Approaching Vehicle Sound for Pedestrians (VSP) system in my vehicle?""",3,"""Are the people standing or sitting?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",2.614591671051252e-232,1,"""What is the function of the Approaching Vehicle Sound for Pedestrians (VSP) system in my vehicle?""",4,"""Are there trees in the background?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",3.0963867043779474e-232,1,"""What is the function of the Approaching Vehicle Sound for Pedestrians (VSP) system in my vehicle?""",5,"""Does the image seem to depict movement?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",1.0009379942300742e-231,2,"""When does the VSP system activate in my vehicle?""",1,"""Is there a car in the image?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",1.2508498911928379e-231,2,"""When does the VSP system activate in my vehicle?""",2,"""How many people can be seen in the image?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",7.060301868108111e-232,2,"""When does the VSP system activate in my vehicle?""",3,"""Are the people standing or sitting?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",8.396161215621529e-232,2,"""When does the VSP system activate in my vehicle?""",4,"""Are there trees in the background?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",8.416851712392762e-232,2,"""When does the VSP system activate in my vehicle?""",5,"""Does the image seem to depict movement?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",3.571883312829026e-232,3,"""At what speed does the VSP system stop producing sound when the vehicle is accelerating?""",1,"""Is there a car in the image?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",5.400301927028362e-232,3,"""At what speed does the VSP system stop producing sound when the vehicle is accelerating?""",2,"""How many people can be seen in the image?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",2.597339905741302e-232,3,"""At what speed does the VSP system stop producing sound when the vehicle is accelerating?""",3,"""Are the people standing or sitting?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",2.597339905741302e-232,3,"""At what speed does the VSP system stop producing sound when the vehicle is accelerating?""",4,"""Are there trees in the background?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",3.571883312829026e-232,3,"""At what speed does the VSP system stop producing sound when the vehicle is accelerating?""",5,"""Does the image seem to depict movement?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",6.325072941044999e-232,4,"""How does the VSP system respond when the vehicle is decelerating?""",1,"""Is there a car in the image?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",1.0016022933125248e-231,4,"""How does the VSP system respond when the vehicle is decelerating?""",2,"""How many people can be seen in the image?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",5.058927350602078e-232,4,"""How does the VSP system respond when the vehicle is decelerating?""",3,"""Are the people standing or sitting?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",5.058927350602078e-232,4,"""How does the VSP system respond when the vehicle is decelerating?""",4,"""Are there trees in the background?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",6.325072941044999e-232,4,"""How does the VSP system respond when the vehicle is decelerating?""",5,"""Does the image seem to depict movement?"""
3,"WBS0022X=WBS0022X=1=en, ja=High",8.422437779564611e-232,1,"""How can I tell if my electric vehicle is currently charging?""",1,"""What is indicated by the arrow in the image?"""
3,"WBS0022X=WBS0022X=1=en, ja=High",0.0,1,"""How can I tell if my electric vehicle is currently charging?""",2,"""Is there anything located underneath the windscreen?"""
3,"WBS0022X=WBS0022X=1=en, ja=High",0.0,1,"""How can I tell if my electric vehicle is currently charging?""",3,"""What seems to be the purpose of the vents depicted?"""
3,"WBS0022X=WBS0022X=1=en, ja=High",0.0,1,"""How can I tell if my electric vehicle is currently charging?""",4,"""Are the vents depicted as open or closed in this illustration?"""
3,"WBS0022X=WBS0022X=1=en, ja=High",0.0,1,"""How can I tell if my electric vehicle is currently charging?""",5,"""Does the image include any part of the car's steering mechanism?"""
3,"WBS0022X=WBS0022X=1=en, ja=High",1.0016022933125248e-231,2,"""Where is the charging status indicator light located on my vehicle?""",1,"""What is indicated by the arrow in the image?"""
3,"WBS0022X=WBS0022X=1=en, ja=High",7.521821744402224e-232,2,"""Where is the charging status indicator light located on my vehicle?""",2,"""Is there anything located underneath the windscreen?"""
3,"WBS0022X=WBS0022X=1=en, ja=High",9.269981669466712e-232,2,"""Where is the charging status indicator light located on my vehicle?""",3,"""What seems to be the purpose of the vents depicted?"""
3,"WBS0022X=WBS0022X=1=en, ja=High",1.0003688322288243e-231,2,"""Where is the charging status indicator light located on my vehicle?""",4,"""Are the vents depicted as open or closed in this illustration?"""
3,"WBS0022X=WBS0022X=1=en, ja=High",1.0003688322288243e-231,2,"""Where is the charging status indicator light located on my vehicle?""",5,"""Does the image include any part of the car's steering mechanism?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",8.020204191025903e-232,1,"""How do I adjust the position of my car seat forward and backward?""",1,"""What type of object is shown in the image?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",8.875814970513353e-232,1,"""How do I adjust the position of my car seat forward and backward?""",2,"""How many car seats are depicted in the image?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",5.1945147945938015e-155,1,"""How do I adjust the position of my car seat forward and backward?""",3,"""Which direction does the arrow point to indicate the movement of the car seat on the left?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",5.157006819435075e-155,1,"""How do I adjust the position of my car seat forward and backward?""",4,"""What adjustment is being indicated by the arrow on the car seat on the right?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",6.744160953836975e-232,1,"""How do I adjust the position of my car seat forward and backward?""",5,"""Is there any numerical labeling visible in the image?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",8.962731118674859e-232,2,"""Can I recline the front seat of my car for more comfort?""",1,"""What type of object is shown in the image?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",8.962731118674859e-232,2,"""Can I recline the front seat of my car for more comfort?""",2,"""How many car seats are depicted in the image?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",1.268852357850863e-231,2,"""Can I recline the front seat of my car for more comfort?""",3,"""Which direction does the arrow point to indicate the movement of the car seat on the left?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",1.2183324802375697e-231,2,"""Can I recline the front seat of my car for more comfort?""",4,"""What adjustment is being indicated by the arrow on the car seat on the right?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",7.536728468577135e-232,2,"""Can I recline the front seat of my car for more comfort?""",5,"""Is there any numerical labeling visible in the image?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",5.400301927028362e-232,3,"""I'm having trouble locking my seat in place after adjusting it; what should I do?""",1,"""What type of object is shown in the image?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",5.400301927028362e-232,3,"""I'm having trouble locking my seat in place after adjusting it; what should I do?""",2,"""How many car seats are depicted in the image?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",8.972141065609098e-232,3,"""I'm having trouble locking my seat in place after adjusting it; what should I do?""",3,"""Which direction does the arrow point to indicate the movement of the car seat on the left?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",9.257324954728539e-232,3,"""I'm having trouble locking my seat in place after adjusting it; what should I do?""",4,"""What adjustment is being indicated by the arrow on the car seat on the right?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",5.400301927028362e-232,3,"""I'm having trouble locking my seat in place after adjusting it; what should I do?""",5,"""Is there any numerical labeling visible in the image?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",8.875814970513353e-232,4,"""Is it possible to adjust the seat while the vehicle is in motion?""",1,"""What type of object is shown in the image?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",8.020204191025903e-232,4,"""Is it possible to adjust the seat while the vehicle is in motion?""",2,"""How many car seats are depicted in the image?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",1.268852357850863e-231,4,"""Is it possible to adjust the seat while the vehicle is in motion?""",3,"""Which direction does the arrow point to indicate the movement of the car seat on the left?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",1.3091834502273125e-231,4,"""Is it possible to adjust the seat while the vehicle is in motion?""",4,"""What adjustment is being indicated by the arrow on the car seat on the right?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",8.875814970513353e-232,4,"""Is it possible to adjust the seat while the vehicle is in motion?""",5,"""Is there any numerical labeling visible in the image?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",6.744160953836975e-232,5,"""How do I know if my car seat is adjusted correctly for driving?""",1,"""What type of object is shown in the image?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",8.020204191025903e-232,5,"""How do I know if my car seat is adjusted correctly for driving?""",2,"""How many car seats are depicted in the image?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",4.368048869756373e-155,5,"""How do I know if my car seat is adjusted correctly for driving?""",3,"""Which direction does the arrow point to indicate the movement of the car seat on the left?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",5.157006819435075e-155,5,"""How do I know if my car seat is adjusted correctly for driving?""",4,"""What adjustment is being indicated by the arrow on the car seat on the right?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",0.0,5,"""How do I know if my car seat is adjusted correctly for driving?""",5,"""Is there any numerical labeling visible in the image?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",0.0,6,"""Why can't I adjust my seat forward or backward?""",1,"""What type of object is shown in the image?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",0.0,6,"""Why can't I adjust my seat forward or backward?""",2,"""How many car seats are depicted in the image?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",8.972141065609098e-232,6,"""Why can't I adjust my seat forward or backward?""",3,"""Which direction does the arrow point to indicate the movement of the car seat on the left?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",9.257324954728539e-232,6,"""Why can't I adjust my seat forward or backward?""",4,"""What adjustment is being indicated by the arrow on the car seat on the right?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",0.0,6,"""Why can't I adjust my seat forward or backward?""",5,"""Is there any numerical labeling visible in the image?"""
5,"WBB0015X=WBB0015X=1=en, ja=High",0.0,1,"""How can I adjust the height of my vehicle's seat using the seat lifter?""",1,"""What is being adjusted in this image?"""
5,"WBB0015X=WBB0015X=1=en, ja=High",4.27242167093289e-155,1,"""How can I adjust the height of my vehicle's seat using the seat lifter?""",2,"""Which direction does the lever move to adjust the seat?"""
5,"WBB0015X=WBB0015X=1=en, ja=High",0.0,1,"""How can I adjust the height of my vehicle's seat using the seat lifter?""",3,"""Is this image colored or black and white?"""
5,"WBB0015X=WBB0015X=1=en, ja=High",0.0,1,"""How can I adjust the height of my vehicle's seat using the seat lifter?""",4,"""Does this image depict a manual or automatic adjustment mechanism?"""
5,"WBB0015X=WBB0015X=1=en, ja=High",3.068394543398962e-232,1,"""How can I adjust the height of my vehicle's seat using the seat lifter?""",5,"""What kind of diagram is this?"""
5,"WBB0015X=WBB0015X=1=en, ja=High",2.3268642989202446e-232,2,"""What should I do if the power seat adjustment stops working while I'm trying to adjust the height?""",1,"""What is being adjusted in this image?"""
5,"WBB0015X=WBB0015X=1=en, ja=High",1.7817218048972954e-78,2,"""What should I do if the power seat adjustment stops working while I'm trying to adjust the height?""",2,"""Which direction does the lever move to adjust the seat?"""
5,"WBB0015X=WBB0015X=1=en, ja=High",0.0,2,"""What should I do if the power seat adjustment stops working while I'm trying to adjust the height?""",3,"""Is this image colored or black and white?"""
5,"WBB0015X=WBB0015X=1=en, ja=High",4.603336663472925e-232,2,"""What should I do if the power seat adjustment stops working while I'm trying to adjust the height?""",4,"""Does this image depict a manual or automatic adjustment mechanism?"""
