2,"CO0330=CO0330=1=en, ja=High",1,"""What is the object in the image?""","""The object is a gaming chair."""
2,"CO0330=CO0330=1=en, ja=High",2,"""What color is the gaming chair?""","""The gaming chair is black."""
2,"CO0330=CO0330=1=en, ja=High",3,"""Does the gaming chair have armrests?""","""Yes, the gaming chair has armrests."""
2,"CO0330=CO0330=1=en, ja=High",4,"""What is the shape of the backrest?""","""The backrest is tall and has an ergonomic design for comfort."""
2,"CO0330=CO0330=1=en, ja=High",5,"""Is there any visible branding or logos on the chair?""","""No, there are no visible branding or logos on the chair."""
1,"CO0077=CO0077=1=en, ja=High",1,"""What can be seen in the image?""","""The image is too blurry to make out any specific details."""
1,"CO0077=CO0077=1=en, ja=High",2,"""Can you describe any object or person in the image?""","""No, the image is too blurry to describe objects or people accurately."""
1,"CO0077=CO0077=1=en, ja=High",3,"""Is there any text or numbers visible in the image?""","""No discernible text or numbers can be seen in the blurry image."""
1,"CO0077=CO0077=1=en, ja=High",4,"""What colors are present in the image?""","""The image is monochrome and blurry, making it difficult to identify any colors accurately."""
1,"CO0077=CO0077=1=en, ja=High",5,"""Is the image clear enough to understand what it depicts?""","""No, the image is not clear and is too blurry to understand what it depicts."""
2,"CO0330=CO0330=1=en, ja=High",1,"""What type of object is shown in the image?""","""The image shows a gaming or office chair."""
2,"CO0330=CO0330=1=en, ja=High",2,"""Is it possible to determine the color of the chair from the image?""","""No, the image is in black and white, so the color of the chair cannot be determined."""
2,"CO0330=CO0330=1=en, ja=High",3,"""Does the chair have a headrest?""","""Yes, the chair has an integrated headrest."""
2,"CO0330=CO0330=1=en, ja=High",4,"""Can the armrests be seen in this image?""","""No, the armrests are not visible in this image."""
2,"CO0330=CO0330=1=en, ja=High",5,"""Is the chair depicted with wheels?""","""It cannot be determined if the chair has wheels as they are not visible in this image."""
3,"CO0564=CO0564=1=en, ja=High",1,"""What is the person in the image doing?""","""The person appears to be standing still with their arms by their side."""
3,"CO0564=CO0564=1=en, ja=High",2,"""How would you describe the person's attire?""","""The person is wearing a collared shirt with a tie and a vest."""
3,"CO0564=CO0564=1=en, ja=High",3,"""Can you guess the setting the person might be in based on their clothing?""","""Based on the attire, the person seems to be in a formal or professional setting, perhaps an office or a formal event."""
3,"CO0564=CO0564=1=en, ja=High",4,"""Is the picture in color?""","""No, the picture is in black and white."""
3,"CO0564=CO0564=1=en, ja=High",5,"""Is the person's face visible in the image?""","""No, the person's face is cropped out of the image."""
4,"CO0569=CO0569=1=en, ja=High",1,"""What is the primary color of the object in the image?""","""The primary color of the object in the image is gray."""
4,"CO0569=CO0569=1=en, ja=High",2,"""Is the object symmetrical or asymmetrical?""","""The object appears to be symmetrical."""
4,"CO0569=CO0569=1=en, ja=High",3,"""What shapes are visible within the design of the object?""","""Circular shapes are visible within the design of the object."""
4,"CO0569=CO0569=1=en, ja=High",4,"""Does the image show the entire object?""","""No, the image does not show the entire object; it appears to be a cropped close-up."""
4,"CO0569=CO0569=1=en, ja=High",5,"""What is the texture of the object's surface?""","""The surface of the object has a shiny, metallic texture."""
5,"CO0666=CO0666=1=en, ja=High",1,"""What safety feature should be engaged before starting the car in the image?""","""You should press the brake pedal before starting the car, as indicated by the number 1 on the pedal in the image."""
5,"CO0666=CO0666=1=en, ja=High",2,"""What should you do after ensuring the brake pedal is engaged to start the car in the image?""","""After pressing the brake pedal, you should press the start/stop engine button, which is labeled with the number 2 in the image."""
5,"CO0666=CO0666=1=en, ja=High",3,"""What does the number 3 on the car dashboard in the image indicate?""","""The number 3 indicates the 'READY' indicator on the car dashboard, signifying the car's engine is on and ready to drive."""
5,"CO0666=CO0666=1=en, ja=High",4,"""Is there an indication that the vehicle is ready to drive in the image?""","""Yes, the dashboard displays a 'READY' indicator, signaling that the vehicle is ready to drive."""
5,"CO0666=CO0666=1=en, ja=High",5,"""How many steps are shown for starting the car in this image?""","""There are two steps shown for starting the car in this image: pressing the brake pedal (number 1) and pressing the start/stop engine button (number 2)."""
6,"ICON-ABS-ICON-YEL=ICON-ABS-ICON-YEL=1=en, ja=High",1,"""What are the initials in the center of the image?""","""The initials in the center of the image are ABS."""
