image_name,recall,id
"WBS0038X=WBS0038X=1=en, ja=High",0.9218332960836194,1
"WBS0033X=WBS0033X=1=en, ja=High",0.8798949237981382,2
"WBS0022X=WBS0022X=1=en, ja=High",0.9207959753120414,3
"WBB0014X=WBB0014X=1=en, ja=High",0.9114763453359881,4
"WBB0015X=WBB0015X=1=en, ja=High",0.9136258021244772,5
"WBD0022X=WBD0022X=1=en, ja=High",0.9257251093363635,6
"WBC0074X=WBC0074X=1=en, ja=High",0.9251427431023516,7
"WBG0037X=WBG0037X=1=en, ja=High",0.924195135900355,8
"WBS0024X=WBS0024X=1=en, ja=High",0.9287891476162805,9
"WBS0027X=WBS0027X=1=en, ja=High",0.9142044908917615,10
"WBA0025X=WBA0025X=1=en, ja=High",0.9058787002334318,11
"WBA0026X=WBA0026X=1=en, ja=High",0.910673143238486,12
"WBA0012X=WBA0012X=1=en, ja=High",0.9051543765436402,13
"WBA0027X=WBA0027X=1=en, ja=High",0.8915076548440192,14
"WBA0028X=WBA0028X=1=en, ja=High",0.9014765396044906,15
"WBB0061X=WBB0061X=1=en, ja=High",0.8695783197696693,16
"WBC0045X=WBC0045X=1=en, ja=High",0.9127472225815559,17
