image_name,precision,id
"WBS0038X=WBS0038X=1=en, ja=High",0.9035009844500888,1
"WBS0033X=WBS0033X=1=en, ja=High",0.8969512504244708,2
"WBS0022X=WBS0022X=1=en, ja=High",0.8940377161629591,3
"WBB0014X=WBB0014X=1=en, ja=High",0.9423946863646214,4
"WBB0015X=WBB0015X=1=en, ja=High",0.9228287558815818,5
"WBD0022X=WBD0022X=1=en, ja=High",0.9368969848079083,6
"WBC0074X=WBC0074X=1=en, ja=High",0.875340434810019,7
"WBG0037X=WBG0037X=1=en, ja=High",0.8666103159399331,8
"WBS0024X=WBS0024X=1=en, ja=High",0.9120943810171553,9
"WBS0027X=WBS0027X=1=en, ja=High",0.8892707957243869,10
"WBA0025X=WBA0025X=1=en, ja=High",0.9024643333600908,11
"WBA0026X=WBA0026X=1=en, ja=High",0.9228702869660763,12
"WBA0012X=WBA0012X=1=en, ja=High",0.8945188757371856,13
"WBA0027X=WBA0027X=1=en, ja=High",0.9257411253968432,14
"WBA0028X=WBA0028X=1=en, ja=High",0.8793152220442935,15
"WBB0061X=WBB0061X=1=en, ja=High",0.8912293732954286,16
"WBC0045X=WBC0045X=1=en, ja=High",0.9271491427353473,17
