image_name,recall,id
"WBS0038X=WBS0038X=1=en, ja=High",0.8917707255050612,1
"WBS0033X=WBS0033X=1=en, ja=High",0.8465206035155263,2
"WBS0022X=WBS0022X=1=en, ja=High",0.9198988016358856,3
"WBB0014X=WBB0014X=1=en, ja=High",0.915015415970101,4
"WBB0015X=WBB0015X=1=en, ja=High",0.8261846158151857,5
"WBD0022X=WBD0022X=1=en, ja=High",0.9312784697190748,6
"WBC0074X=WBC0074X=1=en, ja=High",0.9258071048610073,7
"WBG0037X=WBG0037X=1=en, ja=High",0.9626863643823311,8
"WBS0024X=WBS0024X=1=en, ja=High",0.9363110863425411,9
"WBS0027X=WBS0027X=1=en, ja=High",0.9105351348160701,10
"WBA0025X=WBA0025X=1=en, ja=High",0.9020190170329125,11
"WBA0026X=WBA0026X=1=en, ja=High",0.8472398918282171,12
"WBA0012X=WBA0012X=1=en, ja=High",0.8618694793481697,13
"WBA0027X=WBA0027X=1=en, ja=High",0.5818327078494199,14
"WBA0028X=WBA0028X=1=en, ja=High",0.8917579994079822,15
"WBB0061X=WBB0061X=1=en, ja=High",0.9021213968808325,16
"WBC0045X=WBC0045X=1=en, ja=High",0.8819538400114302,17
