id,image_name,score,gt_qa_id,gt_question,m_qa_id,m_question
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8811349855841561,1,"""Can I turn on my vehicle's heating remotely?""",1,"""What does the diagram suggest about the relationship between the vehicle and the device on the right?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8803490384812547,1,"""Can I turn on my vehicle's heating remotely?""",2,"""What might the arrows pointing away from the vehicle represent?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8585272531426081,1,"""Can I turn on my vehicle's heating remotely?""",3,"""What type of device is represented on the right side of the diagram?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8760647175565427,1,"""Can I turn on my vehicle's heating remotely?""",4,"""Is there any physical connection between the vehicle and the smartphone in the diagram?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8261394997894798,1,"""Can I turn on my vehicle's heating remotely?""",5,"""What could the radiating waves in the diagram signify?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8948998925157085,2,"""Is it possible to cool my vehicle's interior before I start driving?""",1,"""What does the diagram suggest about the relationship between the vehicle and the device on the right?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8958899686117784,2,"""Is it possible to cool my vehicle's interior before I start driving?""",2,"""What might the arrows pointing away from the vehicle represent?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8713605916901402,2,"""Is it possible to cool my vehicle's interior before I start driving?""",3,"""What type of device is represented on the right side of the diagram?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8898119751183058,2,"""Is it possible to cool my vehicle's interior before I start driving?""",4,"""Is there any physical connection between the vehicle and the smartphone in the diagram?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8355792227904889,2,"""Is it possible to cool my vehicle's interior before I start driving?""",5,"""What could the radiating waves in the diagram signify?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.9003434034249537,3,"""Does remote operation of the climate control affect my vehicle's battery?""",1,"""What does the diagram suggest about the relationship between the vehicle and the device on the right?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8536677260679684,3,"""Does remote operation of the climate control affect my vehicle's battery?""",2,"""What might the arrows pointing away from the vehicle represent?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8792429185975105,3,"""Does remote operation of the climate control affect my vehicle's battery?""",3,"""What type of device is represented on the right side of the diagram?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.9107589849455118,3,"""Does remote operation of the climate control affect my vehicle's battery?""",4,"""Is there any physical connection between the vehicle and the smartphone in the diagram?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8128920871859525,3,"""Does remote operation of the climate control affect my vehicle's battery?""",5,"""What could the radiating waves in the diagram signify?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8962184387619563,4,"""How do I access my vehicle's climate control system through my smartphone?""",1,"""What does the diagram suggest about the relationship between the vehicle and the device on the right?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.866248915035761,4,"""How do I access my vehicle's climate control system through my smartphone?""",2,"""What might the arrows pointing away from the vehicle represent?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.863391065311544,4,"""How do I access my vehicle's climate control system through my smartphone?""",3,"""What type of device is represented on the right side of the diagram?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.9000890748004161,4,"""How do I access my vehicle's climate control system through my smartphone?""",4,"""Is there any physical connection between the vehicle and the smartphone in the diagram?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8152022119034514,4,"""How do I access my vehicle's climate control system through my smartphone?""",5,"""What could the radiating waves in the diagram signify?"""
