image_name,f1_score,id_recall
"WBS0038X=WBS0038X=1=en, ja=High",0.9309413422412289,1
"WBS0033X=WBS0033X=1=en, ja=High",0.9079360924419368,2
"WBS0022X=WBS0022X=1=en, ja=High",0.9251347998770526,3
"WBB0014X=WBB0014X=1=en, ja=High",0.9437430906240316,4
"WBB0015X=WBB0015X=1=en, ja=High",0.9208556719606124,5
"WBD0022X=WBD0022X=1=en, ja=High",0.9551446878439442,6
"WBC0074X=WBC0074X=1=en, ja=High",0.9381904638604623,7
"WBG0037X=WBG0037X=1=en, ja=High",0.9628034723298061,8
"WBS0024X=WBS0024X=1=en, ja=High",0.9521959014764771,9
"WBS0027X=WBS0027X=1=en, ja=High",0.9223440213926893,10
"WBA0025X=WBA0025X=1=en, ja=High",0.903502855953394,11
"WBA0026X=WBA0026X=1=en, ja=High",0.9202808805784285,12
"WBA0012X=WBA0012X=1=en, ja=High",0.8804460907919436,13
"WBA0027X=WBA0027X=1=en, ja=High",0.9036731258711169,14
"WBA0028X=WBA0028X=1=en, ja=High",0.9110038165560427,15
"WBB0061X=WBB0061X=1=en, ja=High",0.8916395793130885,16
"WBC0045X=WBC0045X=1=en, ja=High",0.9365420326752055,17
