id,image_name,score,gt_qa_id,gt_question,m_qa_id,m_question
1,"WBS0038X=WBS0038X=1=en, ja=High",0.07462686567164178,1,"""Can I turn on my vehicle's heating remotely?""",1,"What is a black and white diagram showing a left-side view of a vehicle and a mobile device separated by two sets of radiating waves?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.042735042735042736,1,"""Can I turn on my vehicle's heating remotely?""",2,"What does a black and white diagram show?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.07633587786259541,1,"""Can I turn on my vehicle's heating remotely?""",3,"What is a black and white diagram showing a left-side view of a vehicle and a mobile device separated by a wave?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.12396694214876033,1,"""Can I turn on my vehicle's heating remotely?""",4,"How do I know if there are sensors on the front grille?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.08,1,"""Can I turn on my vehicle's heating remotely?""",5,"What does the red indicator light with a car on a road and a speedometer mean?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.08264462809917354,1,"""Can I turn on my vehicle's heating remotely?""",6,"How do I know if there is a area of signal coverage?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.03731343283582089,1,"""Can I turn on my vehicle's heating remotely?""",7,"What is the right side of the image, separated from the car by the radiating waves, is an icon of a mobile phone?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.08823529411764705,2,"""Is it possible to cool my vehicle's interior before I start driving?""",1,"What is a black and white diagram showing a left-side view of a vehicle and a mobile device separated by two sets of radiating waves?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.032679738562091505,2,"""Is it possible to cool my vehicle's interior before I start driving?""",2,"What does a black and white diagram show?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.08982035928143711,2,"""Is it possible to cool my vehicle's interior before I start driving?""",3,"What is a black and white diagram showing a left-side view of a vehicle and a mobile device separated by a wave?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.06369426751592357,2,"""Is it possible to cool my vehicle's interior before I start driving?""",4,"How do I know if there are sensors on the front grille?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.031055900621118012,2,"""Is it possible to cool my vehicle's interior before I start driving?""",5,"What does the red indicator light with a car on a road and a speedometer mean?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.09554140127388534,2,"""Is it possible to cool my vehicle's interior before I start driving?""",6,"How do I know if there is a area of signal coverage?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.058823529411764705,2,"""Is it possible to cool my vehicle's interior before I start driving?""",7,"What is the right side of the image, separated from the car by the radiating waves, is an icon of a mobile phone?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.09316770186335403,3,"""Does remote operation of the climate control affect my vehicle's battery?""",1,"What is a black and white diagram showing a left-side view of a vehicle and a mobile device separated by two sets of radiating waves?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.06944444444444445,3,"""Does remote operation of the climate control affect my vehicle's battery?""",2,"What does a black and white diagram show?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.0949367088607595,3,"""Does remote operation of the climate control affect my vehicle's battery?""",3,"What is a black and white diagram showing a left-side view of a vehicle and a mobile device separated by a wave?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.06756756756756756,3,"""Does remote operation of the climate control affect my vehicle's battery?""",4,"How do I know if there are sensors on the front grille?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.0986842105263158,3,"""Does remote operation of the climate control affect my vehicle's battery?""",5,"What does the red indicator light with a car on a road and a speedometer mean?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.06756756756756756,3,"""Does remote operation of the climate control affect my vehicle's battery?""",6,"How do I know if there is a area of signal coverage?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.09316770186335403,3,"""Does remote operation of the climate control affect my vehicle's battery?""",7,"What is the right side of the image, separated from the car by the radiating waves, is an icon of a mobile phone?
"
1,"WBS0038X=WBS0038X=1=en, ja=High",0.08823529411764705,4,"""How do I access my vehicle's climate control system through my smartphone?""",1,"What is a black and white diagram showing a left-side view of a vehicle and a mobile device separated by two sets of radiating waves?
"
