image_name,recall,id
"WBS0038X=WBS0038X=1=en, ja=High",0.9132595146646859,1
"WBS0033X=WBS0033X=1=en, ja=High",0.8926962106317105,2
"WBS0022X=WBS0022X=1=en, ja=High",0.9155555887849183,3
"WBB0014X=WBB0014X=1=en, ja=High",0.930358484103517,4
"WBB0015X=WBB0015X=1=en, ja=High",0.920529720640722,5
"WBD0022X=WBD0022X=1=en, ja=High",0.9329565974784076,6
"WBC0074X=WBC0074X=1=en, ja=High",0.9148088335348838,7
"WBG0037X=WBG0037X=1=en, ja=High",0.9392079845776563,8
"WBS0024X=WBS0024X=1=en, ja=High",0.9311517634784275,9
"WBS0027X=WBS0027X=1=en, ja=High",0.9179407575061206,10
"WBA0025X=WBA0025X=1=en, ja=High",0.8993419034078489,11
"WBA0026X=WBA0026X=1=en, ja=High",0.9108315193714,12
"WBA0012X=WBA0012X=1=en, ja=High",0.8831451633643078,13
"WBA0027X=WBA0027X=1=en, ja=High",0.9013835913710995,14
"WBA0028X=WBA0028X=1=en, ja=High",0.8892727087769662,15
"WBB0061X=WBB0061X=1=en, ja=High",0.8664929672017272,16
"WBC0045X=WBC0045X=1=en, ja=High",0.9306127701347277,17
