image_name,f1_score,id_recall
"WBS0038X=WBS0038X=1=en, ja=High",0.8752094049946665,1
"WBS0033X=WBS0033X=1=en, ja=High",0.84695296367733,2
"WBS0022X=WBS0022X=1=en, ja=High",0.9075508150627525,3
"WBB0014X=WBB0014X=1=en, ja=High",0.8097682690233291,4
"WBB0015X=WBB0015X=1=en, ja=High",0.8223854016241094,5
"WBD0022X=WBD0022X=1=en, ja=High",0.9233652075935098,6
"WBC0074X=WBC0074X=1=en, ja=High",0.9075252358803115,7
"WBG0037X=WBG0037X=1=en, ja=High",0.9527928550666449,8
"WBS0024X=WBS0024X=1=en, ja=High",0.8856046049078431,9
"WBS0027X=WBS0027X=1=en, ja=High",0.8945926429693898,10
"WBA0025X=WBA0025X=1=en, ja=High",0.8866263542654814,11
"WBA0026X=WBA0026X=1=en, ja=High",0.7911803716373446,12
"WBA0012X=WBA0012X=1=en, ja=High",0.859598871943217,13
"WBA0027X=WBA0027X=1=en, ja=High",0.575871014258806,14
"WBA0028X=WBA0028X=1=en, ja=High",0.895772053168963,15
"WBB0061X=WBB0061X=1=en, ja=High",0.9021384949546281,16
"WBC0045X=WBC0045X=1=en, ja=High",0.884484331584257,17
