image_name,f1_score,id_recall
"WBS0038X=WBS0038X=1=en, ja=High",0.9004911827753995,1
"WBS0033X=WBS0033X=1=en, ja=High",0.8716456851504212,2
"WBS0022X=WBS0022X=1=en, ja=High",0.8850596854145746,3
"WBB0014X=WBB0014X=1=en, ja=High",0.9096625287443831,4
"WBB0015X=WBB0015X=1=en, ja=High",0.8848938013265998,5
"WBD0022X=WBD0022X=1=en, ja=High",0.8918829570595662,6
"WBC0074X=WBC0074X=1=en, ja=High",0.8825042832373581,7
"WBG0037X=WBG0037X=1=en, ja=High",0.8812194566556331,8
"WBS0024X=WBS0024X=1=en, ja=High",0.9223448422832538,9
"WBS0027X=WBS0027X=1=en, ja=High",0.8929925768379423,10
"WBA0025X=WBA0025X=1=en, ja=High",0.8923969299058594,11
"WBA0026X=WBA0026X=1=en, ja=High",0.890093093498644,12
"WBA0012X=WBA0012X=1=en, ja=High",0.9032035443443439,13
"WBA0027X=WBA0027X=1=en, ja=High",0.9229680678707441,14
"WBA0028X=WBA0028X=1=en, ja=High",0.8901068902813322,15
"WBB0061X=WBB0061X=1=en, ja=High",0.8654900933547017,16
"WBC0045X=WBC0045X=1=en, ja=High",0.9112913908820817,17
