id,image_name,score,gt_qa_id,gt_question,m_qa_id,m_question
1,"WBS0038X=WBS0038X=1=en, ja=High",0.2652310924369748,1,"""Can I turn on my vehicle's heating remotely?""",1,"""What does the image indicate about the vehicle?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.2652310924369748,1,"""Can I turn on my vehicle's heating remotely?""",2,"""How does the vehicle communicate with the smartphone?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.2504960317460318,1,"""Can I turn on my vehicle's heating remotely?""",3,"""Is there a specific direction from which the smartphone is sending signals to the vehicle?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.21296296296296297,1,"""Can I turn on my vehicle's heating remotely?""",4,"""What might the arrows pointing towards the car indicate?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.3073770491803279,1,"""Can I turn on my vehicle's heating remotely?""",5,"""Can the functionality depicted be controlled manually, without a smartphone?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.2036290322580645,2,"""Is it possible to cool my vehicle's interior before I start driving?""",1,"""What does the image indicate about the vehicle?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.2036290322580645,2,"""Is it possible to cool my vehicle's interior before I start driving?""",2,"""How does the vehicle communicate with the smartphone?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.2632030178326475,2,"""Is it possible to cool my vehicle's interior before I start driving?""",3,"""Is there a specific direction from which the smartphone is sending signals to the vehicle?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.16381766381766383,2,"""Is it possible to cool my vehicle's interior before I start driving?""",4,"""What might the arrows pointing towards the car indicate?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.1617440225035162,2,"""Is it possible to cool my vehicle's interior before I start driving?""",5,"""Can the functionality depicted be controlled manually, without a smartphone?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.2920471841704718,3,"""Does remote operation of the climate control affect my vehicle's battery?""",1,"""What does the image indicate about the vehicle?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.2920471841704718,3,"""Does remote operation of the climate control affect my vehicle's battery?""",2,"""How does the vehicle communicate with the smartphone?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.24313725490196078,3,"""Does remote operation of the climate control affect my vehicle's battery?""",3,"""Is there a specific direction from which the smartphone is sending signals to the vehicle?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.21471088435374147,3,"""Does remote operation of the climate control affect my vehicle's battery?""",4,"""What might the arrows pointing towards the car indicate?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.24966442953020132,3,"""Does remote operation of the climate control affect my vehicle's battery?""",5,"""Can the functionality depicted be controlled manually, without a smartphone?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.2036290322580645,4,"""How do I access my vehicle's climate control system through my smartphone?""",1,"""What does the image indicate about the vehicle?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.36290322580645157,4,"""How do I access my vehicle's climate control system through my smartphone?""",2,"""How does the vehicle communicate with the smartphone?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.22962962962962963,4,"""How do I access my vehicle's climate control system through my smartphone?""",3,"""Is there a specific direction from which the smartphone is sending signals to the vehicle?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.16381766381766383,4,"""How do I access my vehicle's climate control system through my smartphone?""",4,"""What might the arrows pointing towards the car indicate?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.28227848101265823,4,"""How do I access my vehicle's climate control system through my smartphone?""",5,"""Can the functionality depicted be controlled manually, without a smartphone?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.2547945205479452,5,"""Can using the climate control before driving improve my vehicle's range?""",1,"""What does the image indicate about the vehicle?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.2547945205479452,5,"""Can using the climate control before driving improve my vehicle's range?""",2,"""How does the vehicle communicate with the smartphone?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.24313725490196078,5,"""Can using the climate control before driving improve my vehicle's range?""",3,"""Is there a specific direction from which the smartphone is sending signals to the vehicle?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.21471088435374147,5,"""Can using the climate control before driving improve my vehicle's range?""",4,"""What might the arrows pointing towards the car indicate?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.3841939460347898,5,"""Can using the climate control before driving improve my vehicle's range?""",5,"""Can the functionality depicted be controlled manually, without a smartphone?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.24658203125000006,6,"""How can I operate the climate control system before driving?""",1,"""What does the image indicate about the vehicle?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.34843750000000007,6,"""How can I operate the climate control system before driving?""",2,"""How does the vehicle communicate with the smartphone?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.23379629629629634,6,"""How can I operate the climate control system before driving?""",3,"""Is there a specific direction from which the smartphone is sending signals to the vehicle?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.2446705426356589,6,"""How can I operate the climate control system before driving?""",4,"""What might the arrows pointing towards the car indicate?"""
1,"WBS0038X=WBS0038X=1=en, ja=High",0.3254877014418999,6,"""How can I operate the climate control system before driving?""",5,"""Can the functionality depicted be controlled manually, without a smartphone?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.373134328358209,1,"""What is the function of the Approaching Vehicle Sound for Pedestrians (VSP) system in my vehicle?""",1,"""What is the main subject depicted in the image?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.30495169082125606,1,"""What is the function of the Approaching Vehicle Sound for Pedestrians (VSP) system in my vehicle?""",2,"""What appears to be happening to the people next to the vehicle in the image?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.28622448979591836,1,"""What is the function of the Approaching Vehicle Sound for Pedestrians (VSP) system in my vehicle?""",3,"""Is the car in the image in motion?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.2100437876299945,1,"""What is the function of the Approaching Vehicle Sound for Pedestrians (VSP) system in my vehicle?""",4,"""Can the source of the noise be determined from the image?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.2517788724685276,1,"""What is the function of the Approaching Vehicle Sound for Pedestrians (VSP) system in my vehicle?""",5,"""How many people are affected by the noise from the vehicle?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.31000000000000005,2,"""When does the VSP system activate in my vehicle?""",1,"""What is the main subject depicted in the image?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.3384038800705468,2,"""When does the VSP system activate in my vehicle?""",2,"""What appears to be happening to the people next to the vehicle in the image?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.3126050420168068,2,"""When does the VSP system activate in my vehicle?""",3,"""Is the car in the image in motion?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.2587090163934426,2,"""When does the VSP system activate in my vehicle?""",4,"""Can the source of the noise be determined from the image?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.36557377049180323,2,"""When does the VSP system activate in my vehicle?""",5,"""How many people are affected by the noise from the vehicle?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.2756274923762609,3,"""At what speed does the VSP system stop producing sound when the vehicle is accelerating?""",1,"""What is the main subject depicted in the image?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.2664399092970522,3,"""At what speed does the VSP system stop producing sound when the vehicle is accelerating?""",2,"""What appears to be happening to the people next to the vehicle in the image?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.2464675658317277,3,"""At what speed does the VSP system stop producing sound when the vehicle is accelerating?""",3,"""Is the car in the image in motion?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.21136363636363634,3,"""At what speed does the VSP system stop producing sound when the vehicle is accelerating?""",4,"""Can the source of the noise be determined from the image?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.29040404040404044,3,"""At what speed does the VSP system stop producing sound when the vehicle is accelerating?""",5,"""How many people are affected by the noise from the vehicle?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.3089774557165861,4,"""How does the VSP system respond when the vehicle is decelerating?""",1,"""What is the main subject depicted in the image?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.2961033950617284,4,"""How does the VSP system respond when the vehicle is decelerating?""",2,"""What appears to be happening to the people next to the vehicle in the image?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.3112327656123276,4,"""How does the VSP system respond when the vehicle is decelerating?""",3,"""Is the car in the image in motion?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.26571428571428574,4,"""How does the VSP system respond when the vehicle is decelerating?""",4,"""Can the source of the noise be determined from the image?"""
2,"WBS0033X=WBS0033X=1=en, ja=High",0.45335276967930027,4,"""How does the VSP system respond when the vehicle is decelerating?""",5,"""How many people are affected by the noise from the vehicle?"""
3,"WBS0022X=WBS0022X=1=en, ja=High",0.22871376811594205,1,"""How can I tell if my electric vehicle is currently charging?""",1,"""What is indicated by the arrow in the image?"""
3,"WBS0022X=WBS0022X=1=en, ja=High",0.2303832116788321,1,"""How can I tell if my electric vehicle is currently charging?""",2,"""Is there any control visible on the dashboard?"""
3,"WBS0022X=WBS0022X=1=en, ja=High",0.18653690186536898,1,"""How can I tell if my electric vehicle is currently charging?""",3,"""What might the lines represent on the windshield?"""
3,"WBS0022X=WBS0022X=1=en, ja=High",0.26956521739130435,1,"""How can I tell if my electric vehicle is currently charging?""",4,"""Where is the defrost feature targeted in this vehicle?"""
3,"WBS0022X=WBS0022X=1=en, ja=High",0.18385291766586728,1,"""How can I tell if my electric vehicle is currently charging?""",5,"""What could the wavy lines coming from the vent signify?"""
3,"WBS0022X=WBS0022X=1=en, ja=High",0.3089774557165861,2,"""Where is the charging status indicator light located on my vehicle?""",1,"""What is indicated by the arrow in the image?"""
3,"WBS0022X=WBS0022X=1=en, ja=High",0.3112327656123276,2,"""Where is the charging status indicator light located on my vehicle?""",2,"""Is there any control visible on the dashboard?"""
3,"WBS0022X=WBS0022X=1=en, ja=High",0.2715328467153285,2,"""Where is the charging status indicator light located on my vehicle?""",3,"""What might the lines represent on the windshield?"""
3,"WBS0022X=WBS0022X=1=en, ja=High",0.5013309671694766,2,"""Where is the charging status indicator light located on my vehicle?""",4,"""Where is the defrost feature targeted in this vehicle?"""
3,"WBS0022X=WBS0022X=1=en, ja=High",0.22706834532374098,2,"""Where is the charging status indicator light located on my vehicle?""",5,"""What could the wavy lines coming from the vent signify?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",0.35778061224489793,1,"""How do I adjust the position of my car seat forward and backward?""",1,"""What action is being performed with the car seat in the first image?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",0.20232371794871798,1,"""How do I adjust the position of my car seat forward and backward?""",2,"""What does the arrow indicate in the second image?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",0.3970125786163522,1,"""How do I adjust the position of my car seat forward and backward?""",3,"""Is there a lever involved in the adjustment of the car seat?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",0.3896604938271605,1,"""How do I adjust the position of my car seat forward and backward?""",4,"""Can the car seat be adjusted in more than one way according to the images?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",0.25841750841750843,1,"""How do I adjust the position of my car seat forward and backward?""",5,"""Are the adjustments shown intended for a driver or passenger seat, or can they apply to both?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",0.2823767476085357,2,"""Can I recline the front seat of my car for more comfort?""",1,"""What action is being performed with the car seat in the first image?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",0.21471088435374147,2,"""Can I recline the front seat of my car for more comfort?""",2,"""What does the arrow indicate in the second image?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",0.3197278911564626,2,"""Can I recline the front seat of my car for more comfort?""",3,"""Is there a lever involved in the adjustment of the car seat?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",0.4498507221818769,2,"""Can I recline the front seat of my car for more comfort?""",4,"""Can the car seat be adjusted in more than one way according to the images?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",0.3074306645735218,2,"""Can I recline the front seat of my car for more comfort?""",5,"""Are the adjustments shown intended for a driver or passenger seat, or can they apply to both?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",0.2920658059142024,3,"""I'm having trouble locking my seat in place after adjusting it; what should I do?""",1,"""What action is being performed with the car seat in the first image?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",0.19375,3,"""I'm having trouble locking my seat in place after adjusting it; what should I do?""",2,"""What does the arrow indicate in the second image?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",0.21866096866096862,3,"""I'm having trouble locking my seat in place after adjusting it; what should I do?""",3,"""Is there a lever involved in the adjustment of the car seat?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",0.24221809936095648,3,"""I'm having trouble locking my seat in place after adjusting it; what should I do?""",4,"""Can the car seat be adjusted in more than one way according to the images?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",0.18507462686567164,3,"""I'm having trouble locking my seat in place after adjusting it; what should I do?""",5,"""Are the adjustments shown intended for a driver or passenger seat, or can they apply to both?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",0.33251953125,4,"""Is it possible to adjust the seat while the vehicle is in motion?""",1,"""What action is being performed with the car seat in the first image?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",0.27332621082621084,4,"""Is it possible to adjust the seat while the vehicle is in motion?""",2,"""What does the arrow indicate in the second image?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",0.36726453917229596,4,"""Is it possible to adjust the seat while the vehicle is in motion?""",3,"""Is there a lever involved in the adjustment of the car seat?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",0.36046334400243873,4,"""Is it possible to adjust the seat while the vehicle is in motion?""",4,"""Can the car seat be adjusted in more than one way according to the images?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",0.29066171923314776,4,"""Is it possible to adjust the seat while the vehicle is in motion?""",5,"""Are the adjustments shown intended for a driver or passenger seat, or can they apply to both?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",0.35778061224489793,5,"""How do I know if my car seat is adjusted correctly for driving?""",1,"""What action is being performed with the car seat in the first image?"""
4,"WBB0014X=WBB0014X=1=en, ja=High",0.16381766381766383,5,"""How do I know if my car seat is adjusted correctly for driving?""",2,"""What does the arrow indicate in the second image?"""
