image_name,precision,id
"WBS0038X=WBS0038X=1=en, ja=High",0.8698470757706117,1
"WBS0033X=WBS0033X=1=en, ja=High",0.8516546828539091,2
"WBS0022X=WBS0022X=1=en, ja=High",0.889871607847357,3
"WBB0014X=WBB0014X=1=en, ja=High",0.8086983723540728,4
"WBB0015X=WBB0015X=1=en, ja=High",0.8394667823511913,5
"WBD0022X=WBD0022X=1=en, ja=High",0.9098296804863916,6
"WBC0074X=WBC0074X=1=en, ja=High",0.883425777126902,7
"WBG0037X=WBG0037X=1=en, ja=High",0.9042037373378673,8
"WBS0024X=WBS0024X=1=en, ja=High",0.8754856725594358,9
"WBS0027X=WBS0027X=1=en, ja=High",0.8768528813750672,10
"WBA0025X=WBA0025X=1=en, ja=High",0.8788662230399751,11
"WBA0026X=WBA0026X=1=en, ja=High",0.8060485447721352,12
"WBA0012X=WBA0012X=1=en, ja=High",0.8780383006860053,13
"WBA0027X=WBA0027X=1=en, ja=High",0.7419538327270098,14
"WBA0028X=WBA0028X=1=en, ja=High",0.8943436653507713,15
"WBB0061X=WBB0061X=1=en, ja=High",0.8862165549758387,16
"WBC0045X=WBC0045X=1=en, ja=High",0.8960014152140199,17
