image_name,f1_score,id_recall
"WBS0038X=WBS0038X=1=en, ja=High",0.926850928696784,1
"WBS0033X=WBS0033X=1=en, ja=High",0.8745431311251293,2
"WBS0022X=WBS0022X=1=en, ja=High",0.921620382467975,3
"WBB0014X=WBB0014X=1=en, ja=High",0.942410614153439,4
"WBB0015X=WBB0015X=1=en, ja=High",0.9222965114589944,5
"WBD0022X=WBD0022X=1=en, ja=High",0.9440027886942508,6
"WBC0074X=WBC0074X=1=en, ja=High",0.9444799275411581,7
"WBG0037X=WBG0037X=1=en, ja=High",0.9074512022032093,8
"WBS0024X=WBS0024X=1=en, ja=High",0.9390162334058172,9
"WBS0027X=WBS0027X=1=en, ja=High",0.9117617787333469,10
"WBA0025X=WBA0025X=1=en, ja=High",0.9032927023066314,11
"WBA0026X=WBA0026X=1=en, ja=High",0.9275032289868818,12
"WBA0012X=WBA0012X=1=en, ja=High",0.9087931814434369,13
"WBA0027X=WBA0027X=1=en, ja=High",0.8902412284937598,14
"WBA0028X=WBA0028X=1=en, ja=High",0.9123734512275999,15
"WBB0061X=WBB0061X=1=en, ja=High",0.8934959147467533,16
"WBC0045X=WBC0045X=1=en, ja=High",0.9067797559248717,17
