image_name,precision,id
"WBS0038X=WBS0038X=1=en, ja=High",0.26965599477797914,1
"WBS0033X=WBS0033X=1=en, ja=High",0.3208244839987655,2
"WBS0022X=WBS0022X=1=en, ja=High",0.2597721978344635,3
"WBB0014X=WBB0014X=1=en, ja=High",0.3311850589725154,4
"WBB0015X=WBB0015X=1=en, ja=High",0.2806306582917352,5
"WBD0022X=WBD0022X=1=en, ja=High",0.3381569659324593,6
"WBC0074X=WBC0074X=1=en, ja=High",0.30031139862021583,7
"WBG0037X=WBG0037X=1=en, ja=High",0.22790060473742793,8
"WBS0024X=WBS0024X=1=en, ja=High",0.4588932625668999,9
"WBS0027X=WBS0027X=1=en, ja=High",0.32683773279613043,10
"WBA0025X=WBA0025X=1=en, ja=High",0.3601930298531066,11
"WBA0026X=WBA0026X=1=en, ja=High",0.3203403521364747,12
"WBA0012X=WBA0012X=1=en, ja=High",0.3698243511958277,13
"WBA0027X=WBA0027X=1=en, ja=High",0.5271994643017334,14
"WBA0028X=WBA0028X=1=en, ja=High",0.35677783767548193,15
"WBB0061X=WBB0061X=1=en, ja=High",0.3797761403525631,16
"WBC0045X=WBC0045X=1=en, ja=High",0.37187404677426217,17
